Laikotarpis;Rodiklis;Administracinė teritorija;Matavimo vienetai;Reikšmė
2001;Gyventojų tankis metų pradžioje;Elektrėnų sav.;viename km²;53.9
2002;Gyventojų tankis metų pradžioje;Elektrėnų sav.;viename km²;53.1
2003;Gyventojų tankis metų pradžioje;Elektrėnų sav.;viename km²;55.7
2004;Gyventojų tankis metų pradžioje;Elektrėnų sav.;viename km²;55.0
2005;Gyventojų tankis metų pradžioje;Elektrėnų sav.;viename km²;54.3
2006;Gyventojų tankis metų pradžioje;Elektrėnų sav.;viename km²;53.0
2007;Gyventojų tankis metų pradžioje;Elektrėnų sav.;viename km²;52.4
2008;Gyventojų tankis metų pradžioje;Elektrėnų sav.;viename km²;51.7
2009;Gyventojų tankis metų pradžioje;Elektrėnų sav.;viename km²;51.2
2010;Gyventojų tankis metų pradžioje;Elektrėnų sav.;viename km²;50.7
2011;Gyventojų tankis metų pradžioje;Elektrėnų sav.;viename km²;49.2
2012;Gyventojų tankis metų pradžioje;Elektrėnų sav.;viename km²;48.5
2013;Gyventojų tankis metų pradžioje;Elektrėnų sav.;viename km²;47.9
2014;Gyventojų tankis metų pradžioje;Elektrėnų sav.;viename km²;47.6
2015;Gyventojų tankis metų pradžioje;Elektrėnų sav.;viename km²;47.5
2016;Gyventojų tankis metų pradžioje;Elektrėnų sav.;viename km²;47.1
2017;Gyventojų tankis metų pradžioje;Elektrėnų sav.;viename km²;46.7
2018;Gyventojų tankis metų pradžioje;Elektrėnų sav.;viename km²;46.6
2019;Gyventojų tankis metų pradžioje;Elektrėnų sav.;viename km²;46.5
2001;Gyventojų tankis metų pradžioje;Šalčininkų r. sav.;viename km²;26.4
2002;Gyventojų tankis metų pradžioje;Šalčininkų r. sav.;viename km²;26.1
2003;Gyventojų tankis metų pradžioje;Šalčininkų r. sav.;viename km²;25.9
2004;Gyventojų tankis metų pradžioje;Šalčininkų r. sav.;viename km²;25.6
2005;Gyventojų tankis metų pradžioje;Šalčininkų r. sav.;viename km²;25.3
2006;Gyventojų tankis metų pradžioje;Šalčininkų r. sav.;viename km²;24.8
2007;Gyventojų tankis metų pradžioje;Šalčininkų r. sav.;viename km²;24.5
2008;Gyventojų tankis metų pradžioje;Šalčininkų r. sav.;viename km²;24.2
2009;Gyventojų tankis metų pradžioje;Šalčininkų r. sav.;viename km²;24.0
2010;Gyventojų tankis metų pradžioje;Šalčininkų r. sav.;viename km²;23.7
2011;Gyventojų tankis metų pradžioje;Šalčininkų r. sav.;viename km²;23.3
2012;Gyventojų tankis metų pradžioje;Šalčininkų r. sav.;viename km²;22.9
2013;Gyventojų tankis metų pradžioje;Šalčininkų r. sav.;viename km²;22.6
2014;Gyventojų tankis metų pradžioje;Šalčininkų r. sav.;viename km²;22.2
2015;Gyventojų tankis metų pradžioje;Šalčininkų r. sav.;viename km²;21.9
2016;Gyventojų tankis metų pradžioje;Šalčininkų r. sav.;viename km²;21.6
2017;Gyventojų tankis metų pradžioje;Šalčininkų r. sav.;viename km²;21.3
2018;Gyventojų tankis metų pradžioje;Šalčininkų r. sav.;viename km²;20.9
2019;Gyventojų tankis metų pradžioje;Šalčininkų r. sav.;viename km²;20.8
2001;Gyventojų tankis metų pradžioje;Širvintų r. sav.;viename km²;22.3
2002;Gyventojų tankis metų pradžioje;Širvintų r. sav.;viename km²;22.2
2003;Gyventojų tankis metų pradžioje;Širvintų r. sav.;viename km²;21.9
2004;Gyventojų tankis metų pradžioje;Širvintų r. sav.;viename km²;21.7
2005;Gyventojų tankis metų pradžioje;Širvintų r. sav.;viename km²;21.6
2006;Gyventojų tankis metų pradžioje;Širvintų r. sav.;viename km²;21.2
2007;Gyventojų tankis metų pradžioje;Širvintų r. sav.;viename km²;21.0
2008;Gyventojų tankis metų pradžioje;Širvintų r. sav.;viename km²;20.7
2009;Gyventojų tankis metų pradžioje;Širvintų r. sav.;viename km²;20.4
2010;Gyventojų tankis metų pradžioje;Širvintų r. sav.;viename km²;20.1
2011;Gyventojų tankis metų pradžioje;Širvintų r. sav.;viename km²;19.5
2012;Gyventojų tankis metų pradžioje;Širvintų r. sav.;viename km²;19.0
2013;Gyventojų tankis metų pradžioje;Širvintų r. sav.;viename km²;18.7
