Laikotarpis;Rodiklis;Administracinė teritorija;Matavimo vienetai;Reikšmė
1990;Neto migracija;Elektrėnų sav.;asmenys;
1991;Neto migracija;Elektrėnų sav.;asmenys;
1992;Neto migracija;Elektrėnų sav.;asmenys;
1993;Neto migracija;Elektrėnų sav.;asmenys;
1994;Neto migracija;Elektrėnų sav.;asmenys;-373
1995;Neto migracija;Elektrėnų sav.;asmenys;-392
1996;Neto migracija;Elektrėnų sav.;asmenys;-246
1997;Neto migracija;Elektrėnų sav.;asmenys;-229
1998;Neto migracija;Elektrėnų sav.;asmenys;-300
1999;Neto migracija;Elektrėnų sav.;asmenys;-207
2000;Neto migracija;Elektrėnų sav.;asmenys;-207
2001;Neto migracija;Elektrėnų sav.;asmenys;-271
2002;Neto migracija;Elektrėnų sav.;asmenys;-115
2003;Neto migracija;Elektrėnų sav.;asmenys;-197
2004;Neto migracija;Elektrėnų sav.;asmenys;-280
2005;Neto migracija;Elektrėnų sav.;asmenys;-548
2006;Neto migracija;Elektrėnų sav.;asmenys;-171
2007;Neto migracija;Elektrėnų sav.;asmenys;-174
2008;Neto migracija;Elektrėnų sav.;asmenys;-114
2009;Neto migracija;Elektrėnų sav.;asmenys;-154
2010;Neto migracija;Elektrėnų sav.;asmenys;-548
2011;Neto migracija;Elektrėnų sav.;asmenys;-281
2012;Neto migracija;Elektrėnų sav.;asmenys;-227
2013;Neto migracija;Elektrėnų sav.;asmenys;-105
2014;Neto migracija;Elektrėnų sav.;asmenys;6
2015;Neto migracija;Elektrėnų sav.;asmenys;-146
2016;Neto migracija;Elektrėnų sav.;asmenys;-92
2017;Neto migracija;Elektrėnų sav.;asmenys;56
2018;Neto migracija;Elektrėnų sav.;asmenys;97
1990;Neto migracija;Šalčininkų r. sav.;asmenys;
1991;Neto migracija;Šalčininkų r. sav.;asmenys;
1992;Neto migracija;Šalčininkų r. sav.;asmenys;
1993;Neto migracija;Šalčininkų r. sav.;asmenys;
1994;Neto migracija;Šalčininkų r. sav.;asmenys;-5
1995;Neto migracija;Šalčininkų r. sav.;asmenys;72
1996;Neto migracija;Šalčininkų r. sav.;asmenys;39
1997;Neto migracija;Šalčininkų r. sav.;asmenys;68
1998;Neto migracija;Šalčininkų r. sav.;asmenys;-7
1999;Neto migracija;Šalčininkų r. sav.;asmenys;16
2000;Neto migracija;Šalčininkų r. sav.;asmenys;2
2001;Neto migracija;Šalčininkų r. sav.;asmenys;-270
2002;Neto migracija;Šalčininkų r. sav.;asmenys;-81
2003;Neto migracija;Šalčininkų r. sav.;asmenys;-119
2004;Neto migracija;Šalčininkų r. sav.;asmenys;-258
2005;Neto migracija;Šalčininkų r. sav.;asmenys;-436
2006;Neto migracija;Šalčininkų r. sav.;asmenys;-150
2007;Neto migracija;Šalčininkų r. sav.;asmenys;-140
2008;Neto migracija;Šalčininkų r. sav.;asmenys;-109
2009;Neto migracija;Šalčininkų r. sav.;asmenys;-260
2010;Neto migracija;Šalčininkų r. sav.;asmenys;-416
2011;Neto migracija;Šalčininkų r. sav.;asmenys;-311
2012;Neto migracija;Šalčininkų r. sav.;asmenys;-357
2013;Neto migracija;Šalčininkų r. sav.;asmenys;-313
2014;Neto migracija;Šalčininkų r. sav.;asmenys;-285
2015;Neto migracija;Šalčininkų r. sav.;asmenys;-233
2016;Neto migracija;Šalčininkų r. sav.;asmenys;-365
2017;Neto migracija;Šalčininkų r. sav.;asmenys;-328
2018;Neto migracija;Šalčininkų r. sav.;asmenys;-20
1990;Neto migracija;Širvintų r. sav.;asmenys;
1991;Neto migracija;Širvintų r. sav.;asmenys;
1992;Neto migracija;Širvintų r. sav.;asmenys;
1993;Neto migracija;Širvintų r. sav.;asmenys;
1994;Neto migracija;Širvintų r. sav.;asmenys;17
1995;Neto migracija;Širvintų r. sav.;asmenys;-132
1996;Neto migracija;Širvintų r. sav.;asmenys;-9
1997;Neto migracija;Širvintų r. sav.;asmenys;-73
1998;Neto migracija;Širvintų r. sav.;asmenys;-120
1999;Neto migracija;Širvintų r. sav.;asmenys;-32
2000;Neto migracija;Širvintų r. sav.;asmenys;-67
2001;Neto migracija;Širvintų r. sav.;asmenys;-28
2002;Neto migracija;Širvintų r. sav.;asmenys;-49
