Laikotarpis;Rodiklis;Administracinė teritorija;Amžius (0–14, 65 ir vyresni);Matavimo vienetai;Reikšmė
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Elektrėnų sav.;0–14;asmenys;30
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Elektrėnų sav.;0–14;asmenys;28
2003;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Elektrėnų sav.;0–14;asmenys;26
2004;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Elektrėnų sav.;0–14;asmenys;25
2005;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Elektrėnų sav.;0–14;asmenys;24
2006;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Elektrėnų sav.;0–14;asmenys;23
2007;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Elektrėnų sav.;0–14;asmenys;22
2008;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Elektrėnų sav.;0–14;asmenys;22
2009;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Elektrėnų sav.;0–14;asmenys;21
2010;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Elektrėnų sav.;0–14;asmenys;21
2011;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Elektrėnų sav.;0–14;asmenys;21
2012;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Elektrėnų sav.;0–14;asmenys;21
2013;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Elektrėnų sav.;0–14;asmenys;21
2014;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Elektrėnų sav.;0–14;asmenys;21
2015;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Elektrėnų sav.;0–14;asmenys;21
2016;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Elektrėnų sav.;0–14;asmenys;21
2017;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Elektrėnų sav.;0–14;asmenys;21
2018;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Elektrėnų sav.;0–14;asmenys;21
2019;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Elektrėnų sav.;0–14;asmenys;22
2001;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šalčininkų r. sav.;0–14;asmenys;33
2002;Išlaikomo amžiaus žmonių koeficientas metų pradžioje;Šalčininkų r. sav.;0–14;asmenys;32
