neighbourhood;street
Antakalnis;Ajerų g. (28)
Antakalnis;Algirdo Juliaus Greimo g. (17)
Antakalnis;Anapilio g. (48)
Antakalnis;Antakalnio g. (147)
Antakalnis;Antano Škėmos g. (12)
Antakalnis;Antavilių g. (22)
Antakalnis;Antavilių Sodų 1-oji g. (8)
Antakalnis;Antavilių Sodų 10-oji g. (22)
Antakalnis;Antavilių Sodų 11-oji g. (6)
Antakalnis;Antavilių Sodų 12-oji g. (5)
Antakalnis;Antavilių Sodų 2-oji g. (3)
Antakalnis;Antavilių Sodų 3-ioji g. (16)
Antakalnis;Antavilių Sodų 4-oji g. (16)
Antakalnis;Antavilių Sodų 5-oji g. (6)
Antakalnis;Antavilių Sodų 6-oji g. (16)
Antakalnis;Antavilių Sodų 7-oji g. (16)
Antakalnis;Antavilių Sodų 8-oji g. (12)
Antakalnis;Antavilių Sodų 9-oji g. (8)
Antakalnis;Apuolės g. (22)
Antakalnis;Asiūklių g. (25)
Antakalnis;Aukštagirio g. (40)
Antakalnis;B. Sruogos g. (55)
Antakalnis;Balžio g. (39)
Antakalnis;Barsukynės g. (87)
Antakalnis;Birutės Marijos Gimbutienės g. (12)
Antakalnis;Bistryčios g. (43)
Antakalnis;Bruknių g.
Antakalnis;Centrinė g. (10)
Antakalnis;Česlovo Kudabos g. (21)
Antakalnis;Debesijos g. (10)
Antakalnis;Duburio g. (19)
Antakalnis;Dvarčionių g. (35)
Antakalnis;Dvarčionių Sodų 1-oji g. (21)
Antakalnis;Dvarčionių Sodų 2-oji g. (14)
Antakalnis;Dvarčionių Sodų 3-ioji g. (29)
Antakalnis;Elniakampio g. (13)
Antakalnis;Ežerėlių g. (3)
Antakalnis;Filaretų g. (9 iš 112*)
Antakalnis;Fulgento Rimgailos g. (7)
Antakalnis;Gaidžių g. (7)
Antakalnis;Gaigalų g. (6)
Antakalnis;Gailestingųjų Seserų g. (10)
Antakalnis;Gailių g. (61)
Antakalnis;Galgių g.
Antakalnis;Garšvų g. (12)
Antakalnis;Gelvadiškių g. (50)
Antakalnis;Gelvadiškių Sodų 1-oji g. (27)
Antakalnis;Gelvadiškių Sodų 2-oji g. (34)
Antakalnis;Gelvadiškių Sodų 3-ioji g. (15)
Antakalnis;Gelvadiškių Sodų 4-oji g. (12)
Antakalnis;Gelvadiškių Sodų 5-oji g. (40)
Antakalnis;Gelvadiškių Sodų 6-oji g. (14)
Antakalnis;Giedros g. (42)
Antakalnis;Girinaičių g. (36)
Antakalnis;Girininkijos g. (26)
Antakalnis;Gražinos g. (22)
Antakalnis;Grybautojų g. (20)
Antakalnis;Gubojų g. (28)
Antakalnis;Gvazdikų g. (101)
Antakalnis;Gvazdikų Sodų g. (18)
Antakalnis;Gvazdikų Sodų 1-oji g. (77)
Antakalnis;Gvazdikų Sodų 10-oji g. (27)
Antakalnis;Gvazdikų Sodų 11-oji g. (15)
Antakalnis;Gvazdikų Sodų 12-oji g. (16)
Antakalnis;Gvazdikų Sodų 13-oji g. (7)
Antakalnis;Gvazdikų Sodų 14-oji g. (15)
Antakalnis;Gvazdikų Sodų 15-oji g. (5)
Antakalnis;Gvazdikų Sodų 16-oji g. (15)
Antakalnis;Gvazdikų Sodų 2-oji g. (38)
Antakalnis;Gvazdikų Sodų 3-ioji g. (24)
Antakalnis;Gvazdikų Sodų 4-oji g. (18)
Antakalnis;Gvazdikų Sodų 5-oji g. (19)
Antakalnis;Gvazdikų Sodų 6-oji g. (56)
Antakalnis;Gvazdikų Sodų 7-oji g. (14)
Antakalnis;Gvazdikų Sodų 8-oji g. (21)
Antakalnis;Gvazdikų Sodų 9-oji g. (11)
Antakalnis;Igno Domeikos g. (30)
Antakalnis;J. Biliūno g. (43)
Antakalnis;J. Čerskio g. (13)
Antakalnis;J. Pabrėžos g. (8)
Antakalnis;Jono Pauliaus II a.
Antakalnis;Juodvarnių g. (38)
Antakalnis;Juodvarnių Sodų g. (5)
Antakalnis;Juodvarnių Sodų 1-oji g. (6)
Antakalnis;Juodvarnių Sodų 10-oji g. (15)
Antakalnis;Juodvarnių Sodų 11-oji g. (6)
Antakalnis;Juodvarnių Sodų 12-oji g. (13)
Antakalnis;Juodvarnių Sodų 13-oji g. (5)
Antakalnis;Juodvarnių Sodų 14-oji g. (19)
Antakalnis;Juodvarnių Sodų 15-oji g. (19)
Antakalnis;Juodvarnių Sodų 16-oji g. (26)
Antakalnis;Juodvarnių Sodų 17-oji g. (25)
Antakalnis;Juodvarnių Sodų 18-oji g. (24)
Antakalnis;Juodvarnių Sodų 19-oji g. (32)
Antakalnis;Juodvarnių Sodų 2-oji g. (7)
Antakalnis;Juodvarnių Sodų 20-oji g. (16)
Antakalnis;Juodvarnių Sodų 21-oji g. (10)
Antakalnis;Juodvarnių Sodų 22-oji g. (7)
Antakalnis;Juodvarnių Sodų 23-ioji g. (10)
Antakalnis;Juodvarnių Sodų 24-oji g. (36)
Antakalnis;Juodvarnių Sodų 25-oji g. (29)
Antakalnis;Juodvarnių Sodų 26-oji g. (51)
Antakalnis;Juodvarnių Sodų 27-oji g. (18)
Antakalnis;Juodvarnių Sodų 28-oji g. (10)
Antakalnis;Juodvarnių Sodų 3-ioji g. (5)
Antakalnis;Juodvarnių Sodų 4-oji g. (6)
Antakalnis;Juodvarnių Sodų 5-oji g. (9)
Antakalnis;Juodvarnių Sodų 6-oji g. (9)
Antakalnis;Juodvarnių Sodų 7-oji g. (9)
Antakalnis;Juodvarnių Sodų 8-oji g. (8)
Antakalnis;Juodvarnių Sodų 9-oji g. (18)
Antakalnis;Jūratės g. (38)
Antakalnis;K. Būgos g.
Antakalnis;K. Jauniaus g. (1)
Antakalnis;K. Semenavičiaus g. (25)
Antakalnis;Kairėnės g. (19)
Antakalnis;Kairėnės Sodų g. (25)
Antakalnis;Kairėnės Sodų 1-oji g. (17)
Antakalnis;Kairėnės Sodų 2-oji g. (50)
Antakalnis;Kairėnės Sodų 3-ioji g. (22)
Antakalnis;Kairėnės Sodų 4-oji g. (7)
Antakalnis;Kairėnų g. (30)
Antakalnis;Kalno g. (35 iš 96*)
Antakalnis;Kalvos g. (1 iš 9*)
Antakalnis;Kalvų Sodų 1-oji g. (20)
Antakalnis;Kalvų Sodų 2-oji g. (16)
Antakalnis;Kalvų Sodų 3-ioji g. (13)
Antakalnis;Kalvų Sodų 4-oji g. (45)
Antakalnis;Kanklių g. (16)
Antakalnis;Karačiūnų g. (91)
Antakalnis;Karačiūnų Sodų 1-oji g. (15)
Antakalnis;Karačiūnų Sodų 10-oji g. (7)
Antakalnis;Karačiūnų Sodų 11-oji g. (4)
Antakalnis;Karačiūnų Sodų 12-oji g. (12)
Antakalnis;Karačiūnų Sodų 13-oji g. (6)
Antakalnis;Karačiūnų Sodų 2-oji g. (6)
Antakalnis;Karačiūnų Sodų 3-ioji g. (9)
Antakalnis;Karačiūnų Sodų 4-oji g. (27)
Antakalnis;Karačiūnų Sodų 5-oji g. (9)
Antakalnis;Karačiūnų Sodų 6-oji g. (7)
Antakalnis;Karačiūnų Sodų 7-oji g. (2)
Antakalnis;Karačiūnų Sodų 8-oji g. (10)
Antakalnis;Karačiūnų Sodų 9-oji g. (12)
Antakalnis;Karių Kapų g. (27)
Antakalnis;Keramikų g. (60)
Antakalnis;Kiškeliškių g. (3)
Antakalnis;Kiškių g. (10)
Antakalnis;Klinikų g. (8)
Antakalnis;Koklių g. (21)
Antakalnis;Konservatorijos Sodų 1-oji g. (17)
Antakalnis;Konservatorijos Sodų 2-oji g. (21)
Antakalnis;Konservatorijos Sodų 3-ioji g. (26)
Antakalnis;Konservatorijos Sodų 4-oji g. (4)
Antakalnis;Kopūstų g. (13)
