year;permanent_residents;permanent_residents_value;median_age;Lytis_Moterys;Lytis_Vyrai;population_density;population_density_measure;population_density_value;useful_area;useful_area_measure;useful_area_value;average_housing;average_housing_measure;average_housing_value;neto_migration;neto_migration_measure;neto_migration_value;unemployment;unemployment_measure;unemployment_value;country;area;district;municipality
2001;Nuolatinių gyventojų skaičius metų pradžioje;28976.0;Medianinis gyventojų amžius metų pradžioje;38.0;34.0;Gyventojų tankis metų pradžioje;viename km²;53.9;Naudingasis plotas, tenkantis vienam gyventojui;m²;21.9;Vidutinis būsto dydis;m²;57.7;Neto migracija;asmenys;-271.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;7.0;Lietuvos Respublika;Sostinės regionas;Vilniaus apskritis;Elektrėnų sav.
2002;Nuolatinių gyventojų skaičius metų pradžioje;28576.0;Medianinis gyventojų amžius metų pradžioje;39.0;34.0;Gyventojų tankis metų pradžioje;viename km²;53.1;Naudingasis plotas, tenkantis vienam gyventojui;m²;22.2;Vidutinis būsto dydis;m²;57.7;Neto migracija;asmenys;-115.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;4.3;Lietuvos Respublika;Sostinės regionas;Vilniaus apskritis;Elektrėnų sav.
2003;Nuolatinių gyventojų skaičius metų pradžioje;28333.0;Medianinis gyventojų amžius metų pradžioje;40.0;35.0;Gyventojų tankis metų pradžioje;viename km²;55.7;Naudingasis plotas, tenkantis vienam gyventojui;m²;22.5;Vidutinis būsto dydis;m²;57.7;Neto migracija;asmenys;-197.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;2.8;Lietuvos Respublika;Sostinės regionas;Vilniaus apskritis;Elektrėnų sav.
2004;Nuolatinių gyventojų skaičius metų pradžioje;28015.0;Medianinis gyventojų amžius metų pradžioje;40.0;35.0;Gyventojų tankis metų pradžioje;viename km²;55.0;Naudingasis plotas, tenkantis vienam gyventojui;m²;23.2;Vidutinis būsto dydis;m²;57.7;Neto migracija;asmenys;-280.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;2.5;Lietuvos Respublika;Sostinės regionas;Vilniaus apskritis;Elektrėnų sav.
2005;Nuolatinių gyventojų skaičius metų pradžioje;27649.0;Medianinis gyventojų amžius metų pradžioje;41.0;36.0;Gyventojų tankis metų pradžioje;viename km²;54.3;Naudingasis plotas, tenkantis vienam gyventojui;m²;24.0;Vidutinis būsto dydis;m²;58.6;Neto migracija;asmenys;-548.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;1.6;Lietuvos Respublika;Sostinės regionas;Vilniaus apskritis;Elektrėnų sav.
2006;Nuolatinių gyventojų skaičius metų pradžioje;26973.0;Medianinis gyventojų amžius metų pradžioje;41.0;36.0;Gyventojų tankis metų pradžioje;viename km²;53.0;Naudingasis plotas, tenkantis vienam gyventojui;m²;24.4;Vidutinis būsto dydis;m²;58.9;Neto migracija;asmenys;-171.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;0.9;Lietuvos Respublika;Sostinės regionas;Vilniaus apskritis;Elektrėnų sav.
2007;Nuolatinių gyventojų skaičius metų pradžioje;26654.0;Medianinis gyventojų amžius metų pradžioje;42.0;36.0;Gyventojų tankis metų pradžioje;viename km²;52.4;Naudingasis plotas, tenkantis vienam gyventojui;m²;24.9;Vidutinis būsto dydis;m²;59.0;Neto migracija;asmenys;-174.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;0.9;Lietuvos Respublika;Sostinės regionas;Vilniaus apskritis;Elektrėnų sav.
2008;Nuolatinių gyventojų skaičius metų pradžioje;26338.0;Medianinis gyventojų amžius metų pradžioje;43.0;37.0;Gyventojų tankis metų pradžioje;viename km²;51.7;Naudingasis plotas, tenkantis vienam gyventojui;m²;25.7;Vidutinis būsto dydis;m²;59.3;Neto migracija;asmenys;-114.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;0.9;Lietuvos Respublika;Sostinės regionas;Vilniaus apskritis;Elektrėnų sav.
2009;Nuolatinių gyventojų skaičius metų pradžioje;26041.0;Medianinis gyventojų amžius metų pradžioje;43.0;37.0;Gyventojų tankis metų pradžioje;viename km²;51.2;Naudingasis plotas, tenkantis vienam gyventojui;m²;27.9;Vidutinis būsto dydis;m²;63.3;Neto migracija;asmenys;-154.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;5.9;Lietuvos Respublika;Sostinės regionas;Vilniaus apskritis;Elektrėnų sav.
2010;Nuolatinių gyventojų skaičius metų pradžioje;25802.0;Medianinis gyventojų amžius metų pradžioje;43.0;37.0;Gyventojų tankis metų pradžioje;viename km²;50.7;Naudingasis plotas, tenkantis vienam gyventojui;m²;28.8;Vidutinis būsto dydis;m²;63.4;Neto migracija;asmenys;-548.0;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;proc.;12.7;Lietuvos Respublika;Sostinės regionas;Vilniaus apskritis;Elektrėnų sav.
