Laikotarpis;Rodiklis;Administracinė teritorija;Matavimo vienetai;Reikšmė
1993;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Elektrėnų sav.;proc.;
1994;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Elektrėnų sav.;proc.;
1995;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Elektrėnų sav.;proc.;
1996;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Elektrėnų sav.;proc.;
1997;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Elektrėnų sav.;proc.;6.5
1998;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Elektrėnų sav.;proc.;5.9
1999;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Elektrėnų sav.;proc.;6.5
2000;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Elektrėnų sav.;proc.;7.1
2001;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Elektrėnų sav.;proc.;7.0
2002;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Elektrėnų sav.;proc.;4.3
2003;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Elektrėnų sav.;proc.;2.8
2004;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Elektrėnų sav.;proc.;2.5
2005;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Elektrėnų sav.;proc.;1.6
2006;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Elektrėnų sav.;proc.;0.9
2007;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Elektrėnų sav.;proc.;0.9
2008;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Elektrėnų sav.;proc.;0.9
2009;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Elektrėnų sav.;proc.;5.9
2010;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Elektrėnų sav.;proc.;12.7
2011;Registruotų bedarbių ir darbingo amžiaus gyventojų santykis;Elektrėnų sav.;proc.;9.8
