id;street;purpose;area;area_useful;year;year_renov;renov_status;efficiency;no_flats;not_living_flats;land;house
1;A.Goštautog.;Gyvenamoji (trys ir daugiau butų);6607.43;4360.68;1960.0;;Nerenovuotas;;53.0;4.0;0.0;2
2;A.Goštautog.;Gyvenamoji (trys ir daugiau butų);4304.17;2771.57;1957.0;;Nerenovuotas;;38.0;14.0;0.15;3
3;A.Jakštog.;Gyvenamoji (trys ir daugiau butų);182.92;123.47;1940.0;;Nerenovuotas;;2.0;2.0;0.0;11
4;A.Jakštog.;Gyvenamoji (trys ir daugiau butų);600.71;0.0;1938.0;;Nerenovuotas;;4.0;3.0;0.0;2
5;A.Jakštog.;Gyvenamoji (trys ir daugiau butų);0.0;3531.56;2006.0;;Nerenovuotas;;40.0;8.0;0.15;6A
6;A.Juozapavičiausg.;Gyvenamoji (trys ir daugiau butų);984.89;612.82;1940.0;2017.0;Renovuotas;;10.0;3.0;0.0;10
7;A.Juozapavičiausg.;Gyvenamoji (trys ir daugiau butų);1681.36;0.0;1955.0;2017.0;Renovuotas;D;18.0;5.0;0.0;28
8;A.Kojelavičiausg.;Gyvenamoji (trys ir daugiau butų);1070.69;622.45;1959.0;;Renovuojamas;;13.0;1.0;0.0;45
9;A.Kojelavičiausg.;Gyvenamoji (trys ir daugiau butų);0.0;615.3;1953.0;;Nerenovuotas;;11.0;1.0;0.2;92
10;A.Mickevičiausg.;Gyvenamoji (trys ir daugiau butų);0.0;2489.03;1972.0;;Nerenovuotas;E;24.0;0.0;0.0;32
11;A.Paškevič-Ciotkosg.;Gyvenamoji (trys ir daugiau butų);1465.63;1176.41;1996.0;;Nerenovuotas;;19.0;0.0;0.0;15
12;A.Paškevič-Ciotkosg.;Gyvenamoji (trys ir daugiau butų);1254.73;957.28;1995.0;;Nerenovuotas;;15.0;0.0;0.0;15
13;A.Paškevič-Ciotkosg.;Gyvenamoji (trys ir daugiau butų);3398.95;2938.59;1994.0;;Nerenovuotas;;48.0;0.0;0.0;20
14;A.Rotundog.;Gyvenamoji (trys ir daugiau butų);5171.85;2848.99;2008.0;;Nerenovuotas;;31.0;7.0;0.18;4A
15;A.Rotundog.;Gyvenamoji (trys ir daugiau butų);1603.48;1224.79;1901.0;;Nerenovuotas;;10.0;3.0;0.0;5
16;A.Strazdeliog.;Gyvenamoji (trys ir daugiau butų);2410.56;1983.27;1940.0;;Nerenovuotas;D;27.0;4.0;0.0;1
17;A.Strazdeliog.;Gyvenamoji (trys ir daugiau butų);1213.4;966.56;1940.0;;Nerenovuotas;;13.0;1.0;0.0;4
18;A.Vienuoliog.;Gyvenamoji (trys ir daugiau butų);0.0;2986.91;1961.0;;Nerenovuotas;;51.0;12.0;0.0;14
