;neighbourhood;street;municipality;houses;str_type
0;Antakalnis;Ajerų g. ;Vilnius;28;Kitas
1;Antakalnis;Algirdo Juliaus Greimo g. ;Vilnius;17;Kitas
2;Antakalnis;Anapilio g. ;Vilnius;48;Kitas
3;Antakalnis;Antakalnio g. ;Vilnius;147;Kitas
4;Antakalnis;Antano Škėmos g. ;Vilnius;12;Kitas
5;Antakalnis;Antavilių g. ;Vilnius;22;Kitas
6;Antakalnis;Antavilių Sodų 1-oji g. ;Vilnius;8;Sodas
7;Antakalnis;Antavilių Sodų 10-oji g. ;Vilnius;22;Sodas
8;Antakalnis;Antavilių Sodų 11-oji g. ;Vilnius;6;Sodas
9;Antakalnis;Antavilių Sodų 12-oji g. ;Vilnius;5;Sodas
10;Antakalnis;Antavilių Sodų 2-oji g. ;Vilnius;3;Sodas
11;Antakalnis;Antavilių Sodų 3-ioji g. ;Vilnius;16;Sodas
12;Antakalnis;Antavilių Sodų 4-oji g. ;Vilnius;16;Sodas
13;Antakalnis;Antavilių Sodų 5-oji g. ;Vilnius;6;Sodas
14;Antakalnis;Antavilių Sodų 6-oji g. ;Vilnius;16;Sodas
15;Antakalnis;Antavilių Sodų 7-oji g. ;Vilnius;16;Sodas
16;Antakalnis;Antavilių Sodų 8-oji g. ;Vilnius;12;Sodas
17;Antakalnis;Antavilių Sodų 9-oji g. ;Vilnius;8;Sodas
18;Antakalnis;Apuolės g. ;Vilnius;22;Kitas
19;Antakalnis;Asiūklių g. ;Vilnius;25;Kitas
20;Antakalnis;Aukštagirio g. ;Vilnius;40;Kitas
21;Antakalnis;B. Sruogos g. ;Vilnius;55;Kitas
22;Antakalnis;Balžio g. ;Vilnius;39;Kitas
23;Antakalnis;Barsukynės g. ;Vilnius;87;Kitas
24;Antakalnis;Birutės Marijos Gimbutienės g. ;Vilnius;12;Kitas
25;Antakalnis;Bistryčios g. ;Vilnius;43;Kitas
26;Antakalnis;Bruknių g.;Vilnius;;Kitas
27;Antakalnis;Centrinė g. ;Vilnius;10;Kitas
28;Antakalnis;Česlovo Kudabos g. ;Vilnius;21;Kitas
29;Antakalnis;Debesijos g. ;Vilnius;10;Kitas
30;Antakalnis;Duburio g. ;Vilnius;19;Kitas
31;Antakalnis;Dvarčionių g. ;Vilnius;35;Kitas
32;Antakalnis;Dvarčionių Sodų 1-oji g. ;Vilnius;21;Sodas
33;Antakalnis;Dvarčionių Sodų 2-oji g. ;Vilnius;14;Sodas
34;Antakalnis;Dvarčionių Sodų 3-ioji g. ;Vilnius;29;Sodas
35;Antakalnis;Elniakampio g. ;Vilnius;13;Kitas
36;Antakalnis;Ežerėlių g. ;Vilnius;3;Kitas
37;Antakalnis;Filaretų g. ;Vilnius;9 iš 112;Kitas
38;Antakalnis;Fulgento Rimgailos g. ;Vilnius;7;Kitas
39;Antakalnis;Gaidžių g. ;Vilnius;7;Kitas
40;Antakalnis;Gaigalų g. ;Vilnius;6;Kitas
41;Antakalnis;Gailestingųjų Seserų g. ;Vilnius;10;Kitas
42;Antakalnis;Gailių g. ;Vilnius;61;Kitas
43;Antakalnis;Galgių g.;Vilnius;;Kitas
44;Antakalnis;Garšvų g. ;Vilnius;12;Kitas
45;Antakalnis;Gelvadiškių g. ;Vilnius;50;Kitas
46;Antakalnis;Gelvadiškių Sodų 1-oji g. ;Vilnius;27;Sodas
47;Antakalnis;Gelvadiškių Sodų 2-oji g. ;Vilnius;34;Sodas
48;Antakalnis;Gelvadiškių Sodų 3-ioji g. ;Vilnius;15;Sodas
49;Antakalnis;Gelvadiškių Sodų 4-oji g. ;Vilnius;12;Sodas
50;Antakalnis;Gelvadiškių Sodų 5-oji g. ;Vilnius;40;Sodas
51;Antakalnis;Gelvadiškių Sodų 6-oji g. ;Vilnius;14;Sodas
52;Antakalnis;Giedros g. ;Vilnius;42;Kitas
53;Antakalnis;Girinaičių g. ;Vilnius;36;Kitas
54;Antakalnis;Girininkijos g. ;Vilnius;26;Kitas
55;Antakalnis;Gražinos g. ;Vilnius;22;Kitas
56;Antakalnis;Grybautojų g. ;Vilnius;20;Kitas
57;Antakalnis;Gubojų g. ;Vilnius;28;Kitas
58;Antakalnis;Gvazdikų g. ;Vilnius;101;Kitas
59;Antakalnis;Gvazdikų Sodų g. ;Vilnius;18;Sodas
60;Antakalnis;Gvazdikų Sodų 1-oji g. ;Vilnius;77;Sodas
61;Antakalnis;Gvazdikų Sodų 10-oji g. ;Vilnius;27;Sodas
62;Antakalnis;Gvazdikų Sodų 11-oji g. ;Vilnius;15;Sodas
63;Antakalnis;Gvazdikų Sodų 12-oji g. ;Vilnius;16;Sodas
64;Antakalnis;Gvazdikų Sodų 13-oji g. ;Vilnius;7;Sodas
65;Antakalnis;Gvazdikų Sodų 14-oji g. ;Vilnius;15;Sodas
66;Antakalnis;Gvazdikų Sodų 15-oji g. ;Vilnius;5;Sodas
67;Antakalnis;Gvazdikų Sodų 16-oji g. ;Vilnius;15;Sodas
68;Antakalnis;Gvazdikų Sodų 2-oji g. ;Vilnius;38;Sodas
69;Antakalnis;Gvazdikų Sodų 3-ioji g. ;Vilnius;24;Sodas
70;Antakalnis;Gvazdikų Sodų 4-oji g. ;Vilnius;18;Sodas
71;Antakalnis;Gvazdikų Sodų 5-oji g. ;Vilnius;19;Sodas
72;Antakalnis;Gvazdikų Sodų 6-oji g. ;Vilnius;56;Sodas
73;Antakalnis;Gvazdikų Sodų 7-oji g. ;Vilnius;14;Sodas
74;Antakalnis;Gvazdikų Sodų 8-oji g. ;Vilnius;21;Sodas
75;Antakalnis;Gvazdikų Sodų 9-oji g. ;Vilnius;11;Sodas
76;Antakalnis;Igno Domeikos g. ;Vilnius;30;Kitas
77;Antakalnis;J. Biliūno g. ;Vilnius;43;Kitas
78;Antakalnis;J. Čerskio g. ;Vilnius;13;Kitas
79;Antakalnis;J. Pabrėžos g. ;Vilnius;8;Kitas
80;Antakalnis;Jono Pauliaus II a.;Vilnius;;Kitas
81;Antakalnis;Juodvarnių g. ;Vilnius;38;Kitas
82;Antakalnis;Juodvarnių Sodų g. ;Vilnius;5;Sodas
83;Antakalnis;Juodvarnių Sodų 1-oji g. ;Vilnius;6;Sodas
84;Antakalnis;Juodvarnių Sodų 10-oji g. ;Vilnius;15;Sodas
85;Antakalnis;Juodvarnių Sodų 11-oji g. ;Vilnius;6;Sodas
86;Antakalnis;Juodvarnių Sodų 12-oji g. ;Vilnius;13;Sodas
87;Antakalnis;Juodvarnių Sodų 13-oji g. ;Vilnius;5;Sodas
88;Antakalnis;Juodvarnių Sodų 14-oji g. ;Vilnius;19;Sodas
89;Antakalnis;Juodvarnių Sodų 15-oji g. ;Vilnius;19;Sodas
90;Antakalnis;Juodvarnių Sodų 16-oji g. ;Vilnius;26;Sodas
91;Antakalnis;Juodvarnių Sodų 17-oji g. ;Vilnius;25;Sodas
92;Antakalnis;Juodvarnių Sodų 18-oji g. ;Vilnius;24;Sodas
93;Antakalnis;Juodvarnių Sodų 19-oji g. ;Vilnius;32;Sodas
94;Antakalnis;Juodvarnių Sodų 2-oji g. ;Vilnius;7;Sodas
95;Antakalnis;Juodvarnių Sodų 20-oji g. ;Vilnius;16;Sodas
96;Antakalnis;Juodvarnių Sodų 21-oji g. ;Vilnius;10;Sodas
97;Antakalnis;Juodvarnių Sodų 22-oji g. ;Vilnius;7;Sodas
98;Antakalnis;Juodvarnių Sodų 23-ioji g. ;Vilnius;10;Sodas
99;Antakalnis;Juodvarnių Sodų 24-oji g. ;Vilnius;36;Sodas
100;Antakalnis;Juodvarnių Sodų 25-oji g. ;Vilnius;29;Sodas
101;Antakalnis;Juodvarnių Sodų 26-oji g. ;Vilnius;51;Sodas
102;Antakalnis;Juodvarnių Sodų 27-oji g. ;Vilnius;18;Sodas
103;Antakalnis;Juodvarnių Sodų 28-oji g. ;Vilnius;10;Sodas
104;Antakalnis;Juodvarnių Sodų 3-ioji g. ;Vilnius;5;Sodas
105;Antakalnis;Juodvarnių Sodų 4-oji g. ;Vilnius;6;Sodas
106;Antakalnis;Juodvarnių Sodų 5-oji g. ;Vilnius;9;Sodas
107;Antakalnis;Juodvarnių Sodų 6-oji g. ;Vilnius;9;Sodas
108;Antakalnis;Juodvarnių Sodų 7-oji g. ;Vilnius;9;Sodas
109;Antakalnis;Juodvarnių Sodų 8-oji g. ;Vilnius;8;Sodas
110;Antakalnis;Juodvarnių Sodų 9-oji g. ;Vilnius;18;Sodas
111;Antakalnis;Jūratės g. ;Vilnius;38;Kitas
112;Antakalnis;K. Būgos g.;Vilnius;;Kitas
113;Antakalnis;K. Jauniaus g. ;Vilnius;1;Kitas
114;Antakalnis;K. Semenavičiaus g. ;Vilnius;25;Kitas
115;Antakalnis;Kairėnės g. ;Vilnius;19;Kitas
116;Antakalnis;Kairėnės Sodų g. ;Vilnius;25;Sodas
117;Antakalnis;Kairėnės Sodų 1-oji g. ;Vilnius;17;Sodas
118;Antakalnis;Kairėnės Sodų 2-oji g. ;Vilnius;50;Sodas
119;Antakalnis;Kairėnės Sodų 3-ioji g. ;Vilnius;22;Sodas
120;Antakalnis;Kairėnės Sodų 4-oji g. ;Vilnius;7;Sodas
121;Antakalnis;Kairėnų g. ;Vilnius;30;Kitas
122;Antakalnis;Kalno g. ;Vilnius;35 iš 96;Kitas
123;Antakalnis;Kalvos g. ;Vilnius;1 iš 9;Kitas
124;Antakalnis;Kalvų Sodų 1-oji g. ;Vilnius;20;Sodas
125;Antakalnis;Kalvų Sodų 2-oji g. ;Vilnius;16;Sodas
126;Antakalnis;Kalvų Sodų 3-ioji g. ;Vilnius;13;Sodas
127;Antakalnis;Kalvų Sodų 4-oji g. ;Vilnius;45;Sodas
128;Antakalnis;Kanklių g. ;Vilnius;16;Kitas
129;Antakalnis;Karačiūnų g. ;Vilnius;91;Kitas
130;Antakalnis;Karačiūnų Sodų 1-oji g. ;Vilnius;15;Sodas
131;Antakalnis;Karačiūnų Sodų 10-oji g. ;Vilnius;7;Sodas
132;Antakalnis;Karačiūnų Sodų 11-oji g. ;Vilnius;4;Sodas
133;Antakalnis;Karačiūnų Sodų 12-oji g. ;Vilnius;12;Sodas
134;Antakalnis;Karačiūnų Sodų 13-oji g. ;Vilnius;6;Sodas
135;Antakalnis;Karačiūnų Sodų 2-oji g. ;Vilnius;6;Sodas
136;Antakalnis;Karačiūnų Sodų 3-ioji g. ;Vilnius;9;Sodas
137;Antakalnis;Karačiūnų Sodų 4-oji g. ;Vilnius;27;Sodas
138;Antakalnis;Karačiūnų Sodų 5-oji g. ;Vilnius;9;Sodas
139;Antakalnis;Karačiūnų Sodų 6-oji g. ;Vilnius;7;Sodas
140;Antakalnis;Karačiūnų Sodų 7-oji g. ;Vilnius;2;Sodas
141;Antakalnis;Karačiūnų Sodų 8-oji g. ;Vilnius;10;Sodas
142;Antakalnis;Karačiūnų Sodų 9-oji g. ;Vilnius;12;Sodas
143;Antakalnis;Karių Kapų g. ;Vilnius;27;Kitas
144;Antakalnis;Keramikų g. ;Vilnius;60;Kitas
145;Antakalnis;Kiškeliškių g. ;Vilnius;3;Kitas
146;Antakalnis;Kiškių g. ;Vilnius;10;Kitas
147;Antakalnis;Klinikų g. ;Vilnius;8;Kitas
148;Antakalnis;Koklių g. ;Vilnius;21;Kitas
149;Antakalnis;Konservatorijos Sodų 1-oji g. ;Vilnius;17;Sodas
150;Antakalnis;Konservatorijos Sodų 2-oji g. ;Vilnius;21;Sodas
151;Antakalnis;Konservatorijos Sodų 3-ioji g. ;Vilnius;26;Sodas
152;Antakalnis;Konservatorijos Sodų 4-oji g. ;Vilnius;4;Sodas
153;Antakalnis;Kopūstų g. ;Vilnius;13;Kitas
154;Antakalnis;Kregždžių g. ;Vilnius;28;Kitas
155;Antakalnis;Kuosų g. ;Vilnius;14;Kitas
156;Antakalnis;L. Karsavino g. ;Vilnius;19;Kitas
157;Antakalnis;L. Sapiegos g. ;Vilnius;19;Kitas
158;Antakalnis;Lakštingalos Sodų g. ;Vilnius;7;Sodas
159;Antakalnis;Lakštingalos Sodų 1-oji g. ;Vilnius;5;Sodas
160;Antakalnis;Lakštingalos Sodų 2-oji g. ;Vilnius;2;Sodas
161;Antakalnis;Lakštingalos Sodų 3-ioji g. ;Vilnius;7;Sodas
162;Antakalnis;Lakštingalos Sodų 4-oji g. ;Vilnius;6;Sodas
163;Antakalnis;Lakštingalos Sodų 5-oji g. ;Vilnius;10;Sodas
164;Antakalnis;Lakštingalos Sodų 6-oji g. ;Vilnius;5;Sodas
