Laikotarpis;Rodiklis;Administracinė teritorija;Gyvenamoji vietovė;Matavimo vienetai;Reikšmė
1996;Nuolatinių gyventojų skaičius metų pradžioje;Elektrėnų sav.;Miestas ir kaimas;asmenys;30410
1997;Nuolatinių gyventojų skaičius metų pradžioje;Elektrėnų sav.;Miestas ir kaimas;asmenys;30090
1998;Nuolatinių gyventojų skaičius metų pradžioje;Elektrėnų sav.;Miestas ir kaimas;asmenys;29861
1999;Nuolatinių gyventojų skaičius metų pradžioje;Elektrėnų sav.;Miestas ir kaimas;asmenys;29504
2000;Nuolatinių gyventojų skaičius metų pradžioje;Elektrėnų sav.;Miestas ir kaimas;asmenys;29250
2001;Nuolatinių gyventojų skaičius metų pradžioje;Elektrėnų sav.;Miestas ir kaimas;asmenys;28976
2002;Nuolatinių gyventojų skaičius metų pradžioje;Elektrėnų sav.;Miestas ir kaimas;asmenys;28576
2003;Nuolatinių gyventojų skaičius metų pradžioje;Elektrėnų sav.;Miestas ir kaimas;asmenys;28333
2004;Nuolatinių gyventojų skaičius metų pradžioje;Elektrėnų sav.;Miestas ir kaimas;asmenys;28015
2005;Nuolatinių gyventojų skaičius metų pradžioje;Elektrėnų sav.;Miestas ir kaimas;asmenys;27649
2006;Nuolatinių gyventojų skaičius metų pradžioje;Elektrėnų sav.;Miestas ir kaimas;asmenys;26973
2007;Nuolatinių gyventojų skaičius metų pradžioje;Elektrėnų sav.;Miestas ir kaimas;asmenys;26654
2008;Nuolatinių gyventojų skaičius metų pradžioje;Elektrėnų sav.;Miestas ir kaimas;asmenys;26338
2009;Nuolatinių gyventojų skaičius metų pradžioje;Elektrėnų sav.;Miestas ir kaimas;asmenys;26041
2010;Nuolatinių gyventojų skaičius metų pradžioje;Elektrėnų sav.;Miestas ir kaimas;asmenys;25802
2011;Nuolatinių gyventojų skaičius metų pradžioje;Elektrėnų sav.;Miestas ir kaimas;asmenys;25061
2012;Nuolatinių gyventojų skaičius metų pradžioje;Elektrėnų sav.;Miestas ir kaimas;asmenys;24700
2013;Nuolatinių gyventojų skaičius metų pradžioje;Elektrėnų sav.;Miestas ir kaimas;asmenys;24396
2014;Nuolatinių gyventojų skaičius metų pradžioje;Elektrėnų sav.;Miestas ir kaimas;asmenys;24234
2015;Nuolatinių gyventojų skaičius metų pradžioje;Elektrėnų sav.;Miestas ir kaimas;asmenys;24164
2016;Nuolatinių gyventojų skaičius metų pradžioje;Elektrėnų sav.;Miestas ir kaimas;asmenys;23959
2017;Nuolatinių gyventojų skaičius metų pradžioje;Elektrėnų sav.;Miestas ir kaimas;asmenys;23770
2018;Nuolatinių gyventojų skaičius metų pradžioje;Elektrėnų sav.;Miestas ir kaimas;asmenys;23724
2019;Nuolatinių gyventojų skaičius metų pradžioje;Elektrėnų sav.;Miestas ir kaimas;asmenys;23687
1996;Nuolatinių gyventojų skaičius metų pradžioje;Šalčininkų r. sav.;Miestas ir kaimas;asmenys;40097
1997;Nuolatinių gyventojų skaičius metų pradžioje;Šalčininkų r. sav.;Miestas ir kaimas;asmenys;39974
1998;Nuolatinių gyventojų skaičius metų pradžioje;Šalčininkų r. sav.;Miestas ir kaimas;asmenys;39850
1999;Nuolatinių gyventojų skaičius metų pradžioje;Šalčininkų r. sav.;Miestas ir kaimas;asmenys;39610
2000;Nuolatinių gyventojų skaičius metų pradžioje;Šalčininkų r. sav.;Miestas ir kaimas;asmenys;39502
2001;Nuolatinių gyventojų skaičius metų pradžioje;Šalčininkų r. sav.;Miestas ir kaimas;asmenys;39384
2002;Nuolatinių gyventojų skaičius metų pradžioje;Šalčininkų r. sav.;Miestas ir kaimas;asmenys;38903
2003;Nuolatinių gyventojų skaičius metų pradžioje;Šalčininkų r. sav.;Miestas ir kaimas;asmenys;38563
2004;Nuolatinių gyventojų skaičius metų pradžioje;Šalčininkų r. sav.;Miestas ir kaimas;asmenys;38205
2005;Nuolatinių gyventojų skaičius metų pradžioje;Šalčininkų r. sav.;Miestas ir kaimas;asmenys;37727
2006;Nuolatinių gyventojų skaičius metų pradžioje;Šalčininkų r. sav.;Miestas ir kaimas;asmenys;37016
2007;Nuolatinių gyventojų skaičius metų pradžioje;Šalčininkų r. sav.;Miestas ir kaimas;asmenys;36566
2008;Nuolatinių gyventojų skaičius metų pradžioje;Šalčininkų r. sav.;Miestas ir kaimas;asmenys;36145
2009;Nuolatinių gyventojų skaičius metų pradžioje;Šalčininkų r. sav.;Miestas ir kaimas;asmenys;35802
2010;Nuolatinių gyventojų skaičius metų pradžioje;Šalčininkų r. sav.;Miestas ir kaimas;asmenys;35357
2011;Nuolatinių gyventojų skaičius metų pradžioje;Šalčininkų r. sav.;Miestas ir kaimas;asmenys;34671
2012;Nuolatinių gyventojų skaičius metų pradžioje;Šalčininkų r. sav.;Miestas ir kaimas;asmenys;34175
2013;Nuolatinių gyventojų skaičius metų pradžioje;Šalčininkų r. sav.;Miestas ir kaimas;asmenys;33710
2014;Nuolatinių gyventojų skaičius metų pradžioje;Šalčininkų r. sav.;Miestas ir kaimas;asmenys;33172
2015;Nuolatinių gyventojų skaičius metų pradžioje;Šalčininkų r. sav.;Miestas ir kaimas;asmenys;32705
2016;Nuolatinių gyventojų skaičius metų pradžioje;Šalčininkų r. sav.;Miestas ir kaimas;asmenys;32305
2017;Nuolatinių gyventojų skaičius metų pradžioje;Šalčininkų r. sav.;Miestas ir kaimas;asmenys;31789
2018;Nuolatinių gyventojų skaičius metų pradžioje;Šalčininkų r. sav.;Miestas ir kaimas;asmenys;31265
2019;Nuolatinių gyventojų skaičius metų pradžioje;Šalčininkų r. sav.;Miestas ir kaimas;asmenys;31031
