Laikotarpis;Rodiklis;Administracinė teritorija;Lytis;Matavimo vienetai;Reikšmė
2001;Demografinės senatvės koeficientas metų pradžioje;Elektrėnų sav.;Vyrai ir moterys;asmenys;64
2002;Demografinės senatvės koeficientas metų pradžioje;Elektrėnų sav.;Vyrai ir moterys;asmenys;71
2003;Demografinės senatvės koeficientas metų pradžioje;Elektrėnų sav.;Vyrai ir moterys;asmenys;79
2004;Demografinės senatvės koeficientas metų pradžioje;Elektrėnų sav.;Vyrai ir moterys;asmenys;87
2005;Demografinės senatvės koeficientas metų pradžioje;Elektrėnų sav.;Vyrai ir moterys;asmenys;93
2006;Demografinės senatvės koeficientas metų pradžioje;Elektrėnų sav.;Vyrai ir moterys;asmenys;100
2007;Demografinės senatvės koeficientas metų pradžioje;Elektrėnų sav.;Vyrai ir moterys;asmenys;107
2008;Demografinės senatvės koeficientas metų pradžioje;Elektrėnų sav.;Vyrai ir moterys;asmenys;114
2009;Demografinės senatvės koeficientas metų pradžioje;Elektrėnų sav.;Vyrai ir moterys;asmenys;118
2010;Demografinės senatvės koeficientas metų pradžioje;Elektrėnų sav.;Vyrai ir moterys;asmenys;119
2011;Demografinės senatvės koeficientas metų pradžioje;Elektrėnų sav.;Vyrai ir moterys;asmenys;119
2012;Demografinės senatvės koeficientas metų pradžioje;Elektrėnų sav.;Vyrai ir moterys;asmenys;122
2013;Demografinės senatvės koeficientas metų pradžioje;Elektrėnų sav.;Vyrai ir moterys;asmenys;126
2014;Demografinės senatvės koeficientas metų pradžioje;Elektrėnų sav.;Vyrai ir moterys;asmenys;128
2015;Demografinės senatvės koeficientas metų pradžioje;Elektrėnų sav.;Vyrai ir moterys;asmenys;131
2016;Demografinės senatvės koeficientas metų pradžioje;Elektrėnų sav.;Vyrai ir moterys;asmenys;133
2017;Demografinės senatvės koeficientas metų pradžioje;Elektrėnų sav.;Vyrai ir moterys;asmenys;133
2018;Demografinės senatvės koeficientas metų pradžioje;Elektrėnų sav.;Vyrai ir moterys;asmenys;132
2019;Demografinės senatvės koeficientas metų pradžioje;Elektrėnų sav.;Vyrai ir moterys;asmenys;131
2001;Demografinės senatvės koeficientas metų pradžioje;Šalčininkų r. sav.;Vyrai ir moterys;asmenys;71
2002;Demografinės senatvės koeficientas metų pradžioje;Šalčininkų r. sav.;Vyrai ir moterys;asmenys;76
2003;Demografinės senatvės koeficientas metų pradžioje;Šalčininkų r. sav.;Vyrai ir moterys;asmenys;81
2004;Demografinės senatvės koeficientas metų pradžioje;Šalčininkų r. sav.;Vyrai ir moterys;asmenys;86
2005;Demografinės senatvės koeficientas metų pradžioje;Šalčininkų r. sav.;Vyrai ir moterys;asmenys;90
2006;Demografinės senatvės koeficientas metų pradžioje;Šalčininkų r. sav.;Vyrai ir moterys;asmenys;93
2007;Demografinės senatvės koeficientas metų pradžioje;Šalčininkų r. sav.;Vyrai ir moterys;asmenys;95
2008;Demografinės senatvės koeficientas metų pradžioje;Šalčininkų r. sav.;Vyrai ir moterys;asmenys;97
2009;Demografinės senatvės koeficientas metų pradžioje;Šalčininkų r. sav.;Vyrai ir moterys;asmenys;98
2010;Demografinės senatvės koeficientas metų pradžioje;Šalčininkų r. sav.;Vyrai ir moterys;asmenys;97
2011;Demografinės senatvės koeficientas metų pradžioje;Šalčininkų r. sav.;Vyrai ir moterys;asmenys;102
2012;Demografinės senatvės koeficientas metų pradžioje;Šalčininkų r. sav.;Vyrai ir moterys;asmenys;101
2013;Demografinės senatvės koeficientas metų pradžioje;Šalčininkų r. sav.;Vyrai ir moterys;asmenys;102
2014;Demografinės senatvės koeficientas metų pradžioje;Šalčininkų r. sav.;Vyrai ir moterys;asmenys;102
2015;Demografinės senatvės koeficientas metų pradžioje;Šalčininkų r. sav.;Vyrai ir moterys;asmenys;103
2016;Demografinės senatvės koeficientas metų pradžioje;Šalčininkų r. sav.;Vyrai ir moterys;asmenys;103
2017;Demografinės senatvės koeficientas metų pradžioje;Šalčininkų r. sav.;Vyrai ir moterys;asmenys;103
2018;Demografinės senatvės koeficientas metų pradžioje;Šalčininkų r. sav.;Vyrai ir moterys;asmenys;103
2019;Demografinės senatvės koeficientas metų pradžioje;Šalčininkų r. sav.;Vyrai ir moterys;asmenys;103
2001;Demografinės senatvės koeficientas metų pradžioje;Širvintų r. sav.;Vyrai ir moterys;asmenys;89
2002;Demografinės senatvės koeficientas metų pradžioje;Širvintų r. sav.;Vyrai ir moterys;asmenys;97
2003;Demografinės senatvės koeficientas metų pradžioje;Širvintų r. sav.;Vyrai ir moterys;asmenys;104
2004;Demografinės senatvės koeficientas metų pradžioje;Širvintų r. sav.;Vyrai ir moterys;asmenys;113
2005;Demografinės senatvės koeficientas metų pradžioje;Širvintų r. sav.;Vyrai ir moterys;asmenys;119
2006;Demografinės senatvės koeficientas metų pradžioje;Širvintų r. sav.;Vyrai ir moterys;asmenys;127
2007;Demografinės senatvės koeficientas metų pradžioje;Širvintų r. sav.;Vyrai ir moterys;asmenys;133
2008;Demografinės senatvės koeficientas metų pradžioje;Širvintų r. sav.;Vyrai ir moterys;asmenys;139
2009;Demografinės senatvės koeficientas metų pradžioje;Širvintų r. sav.;Vyrai ir moterys;asmenys;142
2010;Demografinės senatvės koeficientas metų pradžioje;Širvintų r. sav.;Vyrai ir moterys;asmenys;145
2011;Demografinės senatvės koeficientas metų pradžioje;Širvintų r. sav.;Vyrai ir moterys;asmenys;142
2012;Demografinės senatvės koeficientas metų pradžioje;Širvintų r. sav.;Vyrai ir moterys;asmenys;147
2013;Demografinės senatvės koeficientas metų pradžioje;Širvintų r. sav.;Vyrai ir moterys;asmenys;151
2014;Demografinės senatvės koeficientas metų pradžioje;Širvintų r. sav.;Vyrai ir moterys;asmenys;156
2015;Demografinės senatvės koeficientas metų pradžioje;Širvintų r. sav.;Vyrai ir moterys;asmenys;157
2016;Demografinės senatvės koeficientas metų pradžioje;Širvintų r. sav.;Vyrai ir moterys;asmenys;161
2017;Demografinės senatvės koeficientas metų pradžioje;Širvintų r. sav.;Vyrai ir moterys;asmenys;160
2018;Demografinės senatvės koeficientas metų pradžioje;Širvintų r. sav.;Vyrai ir moterys;asmenys;161
2019;Demografinės senatvės koeficientas metų pradžioje;Širvintų r. sav.;Vyrai ir moterys;asmenys;164
2001;Demografinės senatvės koeficientas metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;asmenys;108
2002;Demografinės senatvės koeficientas metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;asmenys;116
2003;Demografinės senatvės koeficientas metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;asmenys;123
2004;Demografinės senatvės koeficientas metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;asmenys;132
2005;Demografinės senatvės koeficientas metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;asmenys;137
2006;Demografinės senatvės koeficientas metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;asmenys;141
2007;Demografinės senatvės koeficientas metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;asmenys;146
2008;Demografinės senatvės koeficientas metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;asmenys;150
2009;Demografinės senatvės koeficientas metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;asmenys;155
2010;Demografinės senatvės koeficientas metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;asmenys;157
2011;Demografinės senatvės koeficientas metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;asmenys;162
2012;Demografinės senatvės koeficientas metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;asmenys;163
2013;Demografinės senatvės koeficientas metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;asmenys;166
2014;Demografinės senatvės koeficientas metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;asmenys;169
2015;Demografinės senatvės koeficientas metų pradžioje;Švenčionių r. sav.;Vyrai ir moterys;asmenys;174
