Laikotarpis;Rodiklis;Administracinė teritorija;Lytis;Matavimo vienetai;Reikšmė
1970;Medianinis gyventojų amžius metų pradžioje;Lietuvos Respublika;Vyrai ir moterys;metai;30.0
1971;Medianinis gyventojų amžius metų pradžioje;Lietuvos Respublika;Vyrai ir moterys;metai;30.0
1972;Medianinis gyventojų amžius metų pradžioje;Lietuvos Respublika;Vyrai ir moterys;metai;30.0
1973;Medianinis gyventojų amžius metų pradžioje;Lietuvos Respublika;Vyrai ir moterys;metai;31.0
1974;Medianinis gyventojų amžius metų pradžioje;Lietuvos Respublika;Vyrai ir moterys;metai;31.0
1975;Medianinis gyventojų amžius metų pradžioje;Lietuvos Respublika;Vyrai ir moterys;metai;31.0
1976;Medianinis gyventojų amžius metų pradžioje;Lietuvos Respublika;Vyrai ir moterys;metai;31.0
1977;Medianinis gyventojų amžius metų pradžioje;Lietuvos Respublika;Vyrai ir moterys;metai;31.0
1978;Medianinis gyventojų amžius metų pradžioje;Lietuvos Respublika;Vyrai ir moterys;metai;31.0
1979;Medianinis gyventojų amžius metų pradžioje;Lietuvos Respublika;Vyrai ir moterys;metai;31.0
1980;Medianinis gyventojų amžius metų pradžioje;Lietuvos Respublika;Vyrai ir moterys;metai;31.0
1981;Medianinis gyventojų amžius metų pradžioje;Lietuvos Respublika;Vyrai ir moterys;metai;31.0
1982;Medianinis gyventojų amžius metų pradžioje;Lietuvos Respublika;Vyrai ir moterys;metai;31.0
1983;Medianinis gyventojų amžius metų pradžioje;Lietuvos Respublika;Vyrai ir moterys;metai;31.0
1984;Medianinis gyventojų amžius metų pradžioje;Lietuvos Respublika;Vyrai ir moterys;metai;31.0
1985;Medianinis gyventojų amžius metų pradžioje;Lietuvos Respublika;Vyrai ir moterys;metai;31.0
1986;Medianinis gyventojų amžius metų pradžioje;Lietuvos Respublika;Vyrai ir moterys;metai;31.0
1987;Medianinis gyventojų amžius metų pradžioje;Lietuvos Respublika;Vyrai ir moterys;metai;32.0
1988;Medianinis gyventojų amžius metų pradžioje;Lietuvos Respublika;Vyrai ir moterys;metai;32.0
1989;Medianinis gyventojų amžius metų pradžioje;Lietuvos Respublika;Vyrai ir moterys;metai;32.0
1990;Medianinis gyventojų amžius metų pradžioje;Lietuvos Respublika;Vyrai ir moterys;metai;32.0
1991;Medianinis gyventojų amžius metų pradžioje;Lietuvos Respublika;Vyrai ir moterys;metai;32.0
1992;Medianinis gyventojų amžius metų pradžioje;Lietuvos Respublika;Vyrai ir moterys;metai;32.0
1993;Medianinis gyventojų amžius metų pradžioje;Lietuvos Respublika;Vyrai ir moterys;metai;33.0
1994;Medianinis gyventojų amžius metų pradžioje;Lietuvos Respublika;Vyrai ir moterys;metai;33.0
1995;Medianinis gyventojų amžius metų pradžioje;Lietuvos Respublika;Vyrai ir moterys;metai;33.0
1996;Medianinis gyventojų amžius metų pradžioje;Lietuvos Respublika;Vyrai ir moterys;metai;34.0
