Laikotarpis;Rodiklis;Gyvenamoji vietovė;Matavimo vienetai;Reikšmė
2018;Vidutinis kambarių skaičius būste;Miestas ir kaimas;vnt.;3.4
2018;Vidutinis kambarių skaičius būste;Miestas;vnt.;3.2
2018;Vidutinis kambarių skaičius būste;Didieji miestai;vnt.;3.2
2018;Vidutinis kambarių skaičius būste;Kiti miestai;vnt.;3.3
2018;Vidutinis kambarių skaičius būste;Kaimas;vnt.;3.9
2017;Vidutinis kambarių skaičius būste;Miestas ir kaimas;vnt.;3.4
2017;Vidutinis kambarių skaičius būste;Miestas;vnt.;3.2
2017;Vidutinis kambarių skaičius būste;Didieji miestai;vnt.;3.1
2017;Vidutinis kambarių skaičius būste;Kiti miestai;vnt.;3.2
2017;Vidutinis kambarių skaičius būste;Kaimas;vnt.;3.8
2016;Vidutinis kambarių skaičius būste;Miestas ir kaimas;vnt.;3.4
2016;Vidutinis kambarių skaičius būste;Miestas;vnt.;3.2
2016;Vidutinis kambarių skaičius būste;Didieji miestai;vnt.;3.1
2016;Vidutinis kambarių skaičius būste;Kiti miestai;vnt.;3.2
2016;Vidutinis kambarių skaičius būste;Kaimas;vnt.;3.8
2015;Vidutinis kambarių skaičius būste;Miestas ir kaimas;vnt.;3.3
2015;Vidutinis kambarių skaičius būste;Miestas;vnt.;3.1
2015;Vidutinis kambarių skaičius būste;Didieji miestai;vnt.;3.0
2015;Vidutinis kambarių skaičius būste;Kiti miestai;vnt.;3.1
2015;Vidutinis kambarių skaičius būste;Kaimas;vnt.;3.8
2014;Vidutinis kambarių skaičius būste;Miestas ir kaimas;vnt.;3.3
2014;Vidutinis kambarių skaičius būste;Miestas;vnt.;3.1
2014;Vidutinis kambarių skaičius būste;Didieji miestai;vnt.;3.0
2014;Vidutinis kambarių skaičius būste;Kiti miestai;vnt.;3.2
2014;Vidutinis kambarių skaičius būste;Kaimas;vnt.;3.7
2013;Vidutinis kambarių skaičius būste;Miestas ir kaimas;vnt.;3.3
2013;Vidutinis kambarių skaičius būste;Miestas;vnt.;3.1
2013;Vidutinis kambarių skaičius būste;Didieji miestai;vnt.;3.0
2013;Vidutinis kambarių skaičius būste;Kiti miestai;vnt.;3.2
2013;Vidutinis kambarių skaičius būste;Kaimas;vnt.;3.8
2012;Vidutinis kambarių skaičius būste;Miestas ir kaimas;vnt.;3.6
2012;Vidutinis kambarių skaičius būste;Miestas;vnt.;3.5
2012;Vidutinis kambarių skaičius būste;Didieji miestai;vnt.;3.4
2012;Vidutinis kambarių skaičius būste;Kiti miestai;vnt.;3.6
2012;Vidutinis kambarių skaičius būste;Kaimas;vnt.;4.0
2011;Vidutinis kambarių skaičius būste;Miestas ir kaimas;vnt.;3.7
2011;Vidutinis kambarių skaičius būste;Miestas;vnt.;3.5
2011;Vidutinis kambarių skaičius būste;Didieji miestai;vnt.;3.4
2011;Vidutinis kambarių skaičius būste;Kiti miestai;vnt.;3.6
2011;Vidutinis kambarių skaičius būste;Kaimas;vnt.;4.0
2010;Vidutinis kambarių skaičius būste;Miestas ir kaimas;vnt.;2.7
2010;Vidutinis kambarių skaičius būste;Miestas;vnt.;2.6
2010;Vidutinis kambarių skaičius būste;Didieji miestai;vnt.;2.5
2010;Vidutinis kambarių skaičius būste;Kiti miestai;vnt.;2.6
2010;Vidutinis kambarių skaičius būste;Kaimas;vnt.;3.1
2009;Vidutinis kambarių skaičius būste;Miestas ir kaimas;vnt.;2.7
2009;Vidutinis kambarių skaičius būste;Miestas;vnt.;2.5
2009;Vidutinis kambarių skaičius būste;Didieji miestai;vnt.;2.5
2009;Vidutinis kambarių skaičius būste;Kiti miestai;vnt.;2.6
2009;Vidutinis kambarių skaičius būste;Kaimas;vnt.;3.1
2008;Vidutinis kambarių skaičius būste;Miestas ir kaimas;vnt.;2.7
2008;Vidutinis kambarių skaičius būste;Miestas;vnt.;2.5
2008;Vidutinis kambarių skaičius būste;Didieji miestai;vnt.;2.4
2008;Vidutinis kambarių skaičius būste;Kiti miestai;vnt.;2.6
2008;Vidutinis kambarių skaičius būste;Kaimas;vnt.;3.0
2007;Vidutinis kambarių skaičius būste;Miestas ir kaimas;vnt.;2.7
2007;Vidutinis kambarių skaičius būste;Miestas;vnt.;2.5
2007;Vidutinis kambarių skaičius būste;Didieji miestai;vnt.;2.4
2007;Vidutinis kambarių skaičius būste;Kiti miestai;vnt.;2.7
2007;Vidutinis kambarių skaičius būste;Kaimas;vnt.;3.0
2006;Vidutinis kambarių skaičius būste;Miestas ir kaimas;vnt.;2.6
2006;Vidutinis kambarių skaičius būste;Miestas;vnt.;2.4
2006;Vidutinis kambarių skaičius būste;Didieji miestai;vnt.;2.4
2006;Vidutinis kambarių skaičius būste;Kiti miestai;vnt.;2.5
2006;Vidutinis kambarių skaičius būste;Kaimas;vnt.;2.9
2005;Vidutinis kambarių skaičius būste;Miestas ir kaimas;vnt.;2.6
2005;Vidutinis kambarių skaičius būste;Miestas;vnt.;2.4
2005;Vidutinis kambarių skaičius būste;Didieji miestai;vnt.;2.4
2005;Vidutinis kambarių skaičius būste;Kiti miestai;vnt.;2.5
2005;Vidutinis kambarių skaičius būste;Kaimas;vnt.;2.9
