Laikotarpis;Rodiklis;Administracinė teritorija;Amžius;Lytis;Matavimo vienetai;Reikšmė
2001;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2002;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2003;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2004;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2005;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2006;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2007;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2008;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2009;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2010;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2011;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2012;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2013;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2014;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2015;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
2016;Nuolatinių gyventojų amžiaus struktūra metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;Vyrai ir moterys;proc.;100.0
