Laikotarpis;Rodiklis;Administracinė teritorija;Amžius;Matavimo vienetai;Reikšmė
1996;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;asmenys;1125
1997;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;asmenys;1128
1998;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;asmenys;1131
1999;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;asmenys;1133
2000;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;asmenys;1136
2001;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;asmenys;1138
2002;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;asmenys;1141
2003;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;asmenys;1143
2004;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;asmenys;1146
2005;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;asmenys;1148
2006;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;asmenys;1152
2007;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;asmenys;1157
2008;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;asmenys;1160
2009;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;asmenys;1161
2010;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;asmenys;1167
2011;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;asmenys;1169
2012;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;asmenys;1171
2013;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;asmenys;1171
2014;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;asmenys;1171
2015;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;asmenys;1170
2016;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;asmenys;1172
2017;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;asmenys;1170
2018;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;asmenys;1165
2019;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Lietuvos Respublika;Iš viso pagal amžių;asmenys;1157
1996;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Sostinės regionas;Iš viso pagal amžių;asmenys;1148
1997;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Sostinės regionas;Iš viso pagal amžių;asmenys;1152
1998;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Sostinės regionas;Iš viso pagal amžių;asmenys;1155
1999;Moterų skaičius, tenkantis 1 tūkst. vyrų, metų pradžioje;Sostinės regionas;Iš viso pagal amžių;asmenys;1157
