Laikotarpis;Rodiklis;Administracinė teritorija;Nuosavybės forma;Gyvenamoji vietovė;Namo tipas;Matavimo vienetai;Reikšmė
2004;Būstų skaičius metų pabaigoje;Elektrėnų sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;10971
2005;Būstų skaičius metų pabaigoje;Elektrėnų sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;10921
2006;Būstų skaičius metų pabaigoje;Elektrėnų sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;10952
2007;Būstų skaičius metų pabaigoje;Elektrėnų sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;11001
2008;Būstų skaičius metų pabaigoje;Elektrėnų sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;11155
2009;Būstų skaičius metų pabaigoje;Elektrėnų sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;11378
2010;Būstų skaičius metų pabaigoje;Elektrėnų sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;11410
2011;Būstų skaičius metų pabaigoje;Elektrėnų sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;11521
2012;Būstų skaičius metų pabaigoje;Elektrėnų sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;11570
2013;Būstų skaičius metų pabaigoje;Elektrėnų sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;11579
2014;Būstų skaičius metų pabaigoje;Elektrėnų sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;11826
2015;Būstų skaičius metų pabaigoje;Elektrėnų sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;11883
2016;Būstų skaičius metų pabaigoje;Elektrėnų sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;11946
2017;Būstų skaičius metų pabaigoje;Elektrėnų sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;12006
2018;Būstų skaičius metų pabaigoje;Elektrėnų sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;12029
2004;Būstų skaičius metų pabaigoje;Šalčininkų r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;14706
2005;Būstų skaičius metų pabaigoje;Šalčininkų r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;14645
2006;Būstų skaičius metų pabaigoje;Šalčininkų r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;14661
2007;Būstų skaičius metų pabaigoje;Šalčininkų r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;14683
2008;Būstų skaičius metų pabaigoje;Šalčininkų r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;14671
2009;Būstų skaičius metų pabaigoje;Šalčininkų r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;13004
2010;Būstų skaičius metų pabaigoje;Šalčininkų r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;13025
2011;Būstų skaičius metų pabaigoje;Šalčininkų r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;13327
2012;Būstų skaičius metų pabaigoje;Šalčininkų r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;13357
2013;Būstų skaičius metų pabaigoje;Šalčininkų r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;13364
2014;Būstų skaičius metų pabaigoje;Šalčininkų r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;13928
2015;Būstų skaičius metų pabaigoje;Šalčininkų r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;13981
2016;Būstų skaičius metų pabaigoje;Šalčininkų r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;14042
2017;Būstų skaičius metų pabaigoje;Šalčininkų r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;14188
2018;Būstų skaičius metų pabaigoje;Šalčininkų r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;14212
2004;Būstų skaičius metų pabaigoje;Širvintų r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;8265
2005;Būstų skaičius metų pabaigoje;Širvintų r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;8189
2006;Būstų skaičius metų pabaigoje;Širvintų r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;8194
2007;Būstų skaičius metų pabaigoje;Širvintų r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;8220
2008;Būstų skaičius metų pabaigoje;Širvintų r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;8208
2009;Būstų skaičius metų pabaigoje;Širvintų r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;8212
2010;Būstų skaičius metų pabaigoje;Širvintų r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;8233
2011;Būstų skaičius metų pabaigoje;Širvintų r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;8319
2012;Būstų skaičius metų pabaigoje;Širvintų r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;8333
2013;Būstų skaičius metų pabaigoje;Širvintų r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;8338
2014;Būstų skaičius metų pabaigoje;Širvintų r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;8477
2015;Būstų skaičius metų pabaigoje;Širvintų r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;8507
2016;Būstų skaičius metų pabaigoje;Širvintų r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;8566
2017;Būstų skaičius metų pabaigoje;Širvintų r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;8648
2018;Būstų skaičius metų pabaigoje;Širvintų r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;8663
2004;Būstų skaičius metų pabaigoje;Švenčionių r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;14903
2005;Būstų skaičius metų pabaigoje;Švenčionių r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;14752
2006;Būstų skaičius metų pabaigoje;Švenčionių r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;14621
2007;Būstų skaičius metų pabaigoje;Švenčionių r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;14657
2008;Būstų skaičius metų pabaigoje;Švenčionių r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;14129
2009;Būstų skaičius metų pabaigoje;Švenčionių r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;13419
2010;Būstų skaičius metų pabaigoje;Švenčionių r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;13438
2011;Būstų skaičius metų pabaigoje;Švenčionių r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;13589
2012;Būstų skaičius metų pabaigoje;Švenčionių r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;13598
2013;Būstų skaičius metų pabaigoje;Švenčionių r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;13612
2014;Būstų skaičius metų pabaigoje;Švenčionių r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;13871
2015;Būstų skaičius metų pabaigoje;Švenčionių r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;13901
2016;Būstų skaičius metų pabaigoje;Švenčionių r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;13923
2017;Būstų skaičius metų pabaigoje;Švenčionių r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;13969
2018;Būstų skaičius metų pabaigoje;Švenčionių r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;13984
2004;Būstų skaičius metų pabaigoje;Trakų r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;14114
2005;Būstų skaičius metų pabaigoje;Trakų r. sav.;Iš viso pagal nuosavybės formą;Miestas ir kaimas;visų namų tipai;vnt.;14070
