Laikotarpis;Rodiklis;Administracinė teritorija;Gyvenamoji vietovė;Matavimo vienetai;Reikšmė
1995;Naudingasis plotas, tenkantis vienam gyventojui;Elektrėnų sav.;Miestas ir kaimas;m²;
1996;Naudingasis plotas, tenkantis vienam gyventojui;Elektrėnų sav.;Miestas ir kaimas;m²;
1997;Naudingasis plotas, tenkantis vienam gyventojui;Elektrėnų sav.;Miestas ir kaimas;m²;
1998;Naudingasis plotas, tenkantis vienam gyventojui;Elektrėnų sav.;Miestas ir kaimas;m²;
1999;Naudingasis plotas, tenkantis vienam gyventojui;Elektrėnų sav.;Miestas ir kaimas;m²;
2000;Naudingasis plotas, tenkantis vienam gyventojui;Elektrėnų sav.;Miestas ir kaimas;m²;21.4
2001;Naudingasis plotas, tenkantis vienam gyventojui;Elektrėnų sav.;Miestas ir kaimas;m²;21.9
2002;Naudingasis plotas, tenkantis vienam gyventojui;Elektrėnų sav.;Miestas ir kaimas;m²;22.2
2003;Naudingasis plotas, tenkantis vienam gyventojui;Elektrėnų sav.;Miestas ir kaimas;m²;22.5
2004;Naudingasis plotas, tenkantis vienam gyventojui;Elektrėnų sav.;Miestas ir kaimas;m²;23.2
2005;Naudingasis plotas, tenkantis vienam gyventojui;Elektrėnų sav.;Miestas ir kaimas;m²;24.0
2006;Naudingasis plotas, tenkantis vienam gyventojui;Elektrėnų sav.;Miestas ir kaimas;m²;24.4
2007;Naudingasis plotas, tenkantis vienam gyventojui;Elektrėnų sav.;Miestas ir kaimas;m²;24.9
2008;Naudingasis plotas, tenkantis vienam gyventojui;Elektrėnų sav.;Miestas ir kaimas;m²;25.7
2009;Naudingasis plotas, tenkantis vienam gyventojui;Elektrėnų sav.;Miestas ir kaimas;m²;27.9
2010;Naudingasis plotas, tenkantis vienam gyventojui;Elektrėnų sav.;Miestas ir kaimas;m²;28.8
2011;Naudingasis plotas, tenkantis vienam gyventojui;Elektrėnų sav.;Miestas ir kaimas;m²;29.7
2012;Naudingasis plotas, tenkantis vienam gyventojui;Elektrėnų sav.;Miestas ir kaimas;m²;30.3
2013;Naudingasis plotas, tenkantis vienam gyventojui;Elektrėnų sav.;Miestas ir kaimas;m²;30.5
2014;Naudingasis plotas, tenkantis vienam gyventojui;Elektrėnų sav.;Miestas ir kaimas;m²;31.6
2015;Naudingasis plotas, tenkantis vienam gyventojui;Elektrėnų sav.;Miestas ir kaimas;m²;32.2
2016;Naudingasis plotas, tenkantis vienam gyventojui;Elektrėnų sav.;Miestas ir kaimas;m²;32.8
2017;Naudingasis plotas, tenkantis vienam gyventojui;Elektrėnų sav.;Miestas ir kaimas;m²;33.2
2018;Naudingasis plotas, tenkantis vienam gyventojui;Elektrėnų sav.;Miestas ir kaimas;m²;33.4
1995;Naudingasis plotas, tenkantis vienam gyventojui;Šalčininkų r. sav.;Miestas ir kaimas;m²;21.4
1996;Naudingasis plotas, tenkantis vienam gyventojui;Šalčininkų r. sav.;Miestas ir kaimas;m²;21.5
1997;Naudingasis plotas, tenkantis vienam gyventojui;Šalčininkų r. sav.;Miestas ir kaimas;m²;21.8
1998;Naudingasis plotas, tenkantis vienam gyventojui;Šalčininkų r. sav.;Miestas ir kaimas;m²;22.8
1999;Naudingasis plotas, tenkantis vienam gyventojui;Šalčininkų r. sav.;Miestas ir kaimas;m²;23.0
2000;Naudingasis plotas, tenkantis vienam gyventojui;Šalčininkų r. sav.;Miestas ir kaimas;m²;23.9
2001;Naudingasis plotas, tenkantis vienam gyventojui;Šalčininkų r. sav.;Miestas ir kaimas;m²;24.4
2002;Naudingasis plotas, tenkantis vienam gyventojui;Šalčininkų r. sav.;Miestas ir kaimas;m²;24.7
2003;Naudingasis plotas, tenkantis vienam gyventojui;Šalčininkų r. sav.;Miestas ir kaimas;m²;25.1
2004;Naudingasis plotas, tenkantis vienam gyventojui;Šalčininkų r. sav.;Miestas ir kaimas;m²;25.6
2005;Naudingasis plotas, tenkantis vienam gyventojui;Šalčininkų r. sav.;Miestas ir kaimas;m²;26.4
2006;Naudingasis plotas, tenkantis vienam gyventojui;Šalčininkų r. sav.;Miestas ir kaimas;m²;26.6
2007;Naudingasis plotas, tenkantis vienam gyventojui;Šalčininkų r. sav.;Miestas ir kaimas;m²;27.0
2008;Naudingasis plotas, tenkantis vienam gyventojui;Šalčininkų r. sav.;Miestas ir kaimas;m²;27.3
2009;Naudingasis plotas, tenkantis vienam gyventojui;Šalčininkų r. sav.;Miestas ir kaimas;m²;25.8
2010;Naudingasis plotas, tenkantis vienam gyventojui;Šalčininkų r. sav.;Miestas ir kaimas;m²;26.4
2011;Naudingasis plotas, tenkantis vienam gyventojui;Šalčininkų r. sav.;Miestas ir kaimas;m²;27.5
2012;Naudingasis plotas, tenkantis vienam gyventojui;Šalčininkų r. sav.;Miestas ir kaimas;m²;28.0
2013;Naudingasis plotas, tenkantis vienam gyventojui;Šalčininkų r. sav.;Miestas ir kaimas;m²;28.4
2014;Naudingasis plotas, tenkantis vienam gyventojui;Šalčininkų r. sav.;Miestas ir kaimas;m²;30.5
2015;Naudingasis plotas, tenkantis vienam gyventojui;Šalčininkų r. sav.;Miestas ir kaimas;m²;31.1
2016;Naudingasis plotas, tenkantis vienam gyventojui;Šalčininkų r. sav.;Miestas ir kaimas;m²;31.8
2017;Naudingasis plotas, tenkantis vienam gyventojui;Šalčininkų r. sav.;Miestas ir kaimas;m²;32.8
2018;Naudingasis plotas, tenkantis vienam gyventojui;Šalčininkų r. sav.;Miestas ir kaimas;m²;33.1
1995;Naudingasis plotas, tenkantis vienam gyventojui;Širvintų r. sav.;Miestas ir kaimas;m²;23.3
1996;Naudingasis plotas, tenkantis vienam gyventojui;Širvintų r. sav.;Miestas ir kaimas;m²;24.1
1997;Naudingasis plotas, tenkantis vienam gyventojui;Širvintų r. sav.;Miestas ir kaimas;m²;24.4
1998;Naudingasis plotas, tenkantis vienam gyventojui;Širvintų r. sav.;Miestas ir kaimas;m²;25.0
1999;Naudingasis plotas, tenkantis vienam gyventojui;Širvintų r. sav.;Miestas ir kaimas;m²;24.8
2000;Naudingasis plotas, tenkantis vienam gyventojui;Širvintų r. sav.;Miestas ir kaimas;m²;26.8
2001;Naudingasis plotas, tenkantis vienam gyventojui;Širvintų r. sav.;Miestas ir kaimas;m²;26.6
2002;Naudingasis plotas, tenkantis vienam gyventojui;Širvintų r. sav.;Miestas ir kaimas;m²;26.8
2003;Naudingasis plotas, tenkantis vienam gyventojui;Širvintų r. sav.;Miestas ir kaimas;m²;27.0
2004;Naudingasis plotas, tenkantis vienam gyventojui;Širvintų r. sav.;Miestas ir kaimas;m²;27.2
2005;Naudingasis plotas, tenkantis vienam gyventojui;Širvintų r. sav.;Miestas ir kaimas;m²;27.7
2006;Naudingasis plotas, tenkantis vienam gyventojui;Širvintų r. sav.;Miestas ir kaimas;m²;28.1
2007;Naudingasis plotas, tenkantis vienam gyventojui;Širvintų r. sav.;Miestas ir kaimas;m²;28.6
2008;Naudingasis plotas, tenkantis vienam gyventojui;Širvintų r. sav.;Miestas ir kaimas;m²;29.1
2009;Naudingasis plotas, tenkantis vienam gyventojui;Širvintų r. sav.;Miestas ir kaimas;m²;32.0
2010;Naudingasis plotas, tenkantis vienam gyventojui;Širvintų r. sav.;Miestas ir kaimas;m²;32.9
2011;Naudingasis plotas, tenkantis vienam gyventojui;Širvintų r. sav.;Miestas ir kaimas;m²;34.3
2012;Naudingasis plotas, tenkantis vienam gyventojui;Širvintų r. sav.;Miestas ir kaimas;m²;35.0
2013;Naudingasis plotas, tenkantis vienam gyventojui;Širvintų r. sav.;Miestas ir kaimas;m²;35.6
2014;Naudingasis plotas, tenkantis vienam gyventojui;Širvintų r. sav.;Miestas ir kaimas;m²;37.2
2015;Naudingasis plotas, tenkantis vienam gyventojui;Širvintų r. sav.;Miestas ir kaimas;m²;38.0
2016;Naudingasis plotas, tenkantis vienam gyventojui;Širvintų r. sav.;Miestas ir kaimas;m²;39.0
2017;Naudingasis plotas, tenkantis vienam gyventojui;Širvintų r. sav.;Miestas ir kaimas;m²;40.2
2018;Naudingasis plotas, tenkantis vienam gyventojui;Širvintų r. sav.;Miestas ir kaimas;m²;40.9
1995;Naudingasis plotas, tenkantis vienam gyventojui;Švenčionių r. sav.;Miestas ir kaimas;m²;23.1
1996;Naudingasis plotas, tenkantis vienam gyventojui;Švenčionių r. sav.;Miestas ir kaimas;m²;23.0
1997;Naudingasis plotas, tenkantis vienam gyventojui;Švenčionių r. sav.;Miestas ir kaimas;m²;23.2
1998;Naudingasis plotas, tenkantis vienam gyventojui;Švenčionių r. sav.;Miestas ir kaimas;m²;23.5
1999;Naudingasis plotas, tenkantis vienam gyventojui;Švenčionių r. sav.;Miestas ir kaimas;m²;24.9
2000;Naudingasis plotas, tenkantis vienam gyventojui;Švenčionių r. sav.;Miestas ir kaimas;m²;26.1
2001;Naudingasis plotas, tenkantis vienam gyventojui;Švenčionių r. sav.;Miestas ir kaimas;m²;28.0
2002;Naudingasis plotas, tenkantis vienam gyventojui;Švenčionių r. sav.;Miestas ir kaimas;m²;28.4
2003;Naudingasis plotas, tenkantis vienam gyventojui;Švenčionių r. sav.;Miestas ir kaimas;m²;28.7
2004;Naudingasis plotas, tenkantis vienam gyventojui;Švenčionių r. sav.;Miestas ir kaimas;m²;29.5
2005;Naudingasis plotas, tenkantis vienam gyventojui;Švenčionių r. sav.;Miestas ir kaimas;m²;30.6
2006;Naudingasis plotas, tenkantis vienam gyventojui;Švenčionių r. sav.;Miestas ir kaimas;m²;31.2
2007;Naudingasis plotas, tenkantis vienam gyventojui;Švenčionių r. sav.;Miestas ir kaimas;m²;31.8
2008;Naudingasis plotas, tenkantis vienam gyventojui;Švenčionių r. sav.;Miestas ir kaimas;m²;32.3
2009;Naudingasis plotas, tenkantis vienam gyventojui;Švenčionių r. sav.;Miestas ir kaimas;m²;31.7
2010;Naudingasis plotas, tenkantis vienam gyventojui;Švenčionių r. sav.;Miestas ir kaimas;m²;32.6
2011;Naudingasis plotas, tenkantis vienam gyventojui;Švenčionių r. sav.;Miestas ir kaimas;m²;33.8
2012;Naudingasis plotas, tenkantis vienam gyventojui;Švenčionių r. sav.;Miestas ir kaimas;m²;34.5
2013;Naudingasis plotas, tenkantis vienam gyventojui;Švenčionių r. sav.;Miestas ir kaimas;m²;35.3
2014;Naudingasis plotas, tenkantis vienam gyventojui;Švenčionių r. sav.;Miestas ir kaimas;m²;36.8
2015;Naudingasis plotas, tenkantis vienam gyventojui;Švenčionių r. sav.;Miestas ir kaimas;m²;37.8
2016;Naudingasis plotas, tenkantis vienam gyventojui;Švenčionių r. sav.;Miestas ir kaimas;m²;38.8
2017;Naudingasis plotas, tenkantis vienam gyventojui;Švenčionių r. sav.;Miestas ir kaimas;m²;40.1
2018;Naudingasis plotas, tenkantis vienam gyventojui;Švenčionių r. sav.;Miestas ir kaimas;m²;41.0
1995;Naudingasis plotas, tenkantis vienam gyventojui;Trakų r. sav.;Miestas ir kaimas;m²;17.7
1996;Naudingasis plotas, tenkantis vienam gyventojui;Trakų r. sav.;Miestas ir kaimas;m²;17.6
1997;Naudingasis plotas, tenkantis vienam gyventojui;Trakų r. sav.;Miestas ir kaimas;m²;17.7
1998;Naudingasis plotas, tenkantis vienam gyventojui;Trakų r. sav.;Miestas ir kaimas;m²;19.3
1999;Naudingasis plotas, tenkantis vienam gyventojui;Trakų r. sav.;Miestas ir kaimas;m²;19.8
2000;Naudingasis plotas, tenkantis vienam gyventojui;Trakų r. sav.;Miestas ir kaimas;m²;23.0
2001;Naudingasis plotas, tenkantis vienam gyventojui;Trakų r. sav.;Miestas ir kaimas;m²;22.6
2002;Naudingasis plotas, tenkantis vienam gyventojui;Trakų r. sav.;Miestas ir kaimas;m²;23.0
2003;Naudingasis plotas, tenkantis vienam gyventojui;Trakų r. sav.;Miestas ir kaimas;m²;23.3
2004;Naudingasis plotas, tenkantis vienam gyventojui;Trakų r. sav.;Miestas ir kaimas;m²;24.1
2005;Naudingasis plotas, tenkantis vienam gyventojui;Trakų r. sav.;Miestas ir kaimas;m²;25.0
2006;Naudingasis plotas, tenkantis vienam gyventojui;Trakų r. sav.;Miestas ir kaimas;m²;25.6
2007;Naudingasis plotas, tenkantis vienam gyventojui;Trakų r. sav.;Miestas ir kaimas;m²;25.9
2008;Naudingasis plotas, tenkantis vienam gyventojui;Trakų r. sav.;Miestas ir kaimas;m²;28.3
2009;Naudingasis plotas, tenkantis vienam gyventojui;Trakų r. sav.;Miestas ir kaimas;m²;30.8
2010;Naudingasis plotas, tenkantis vienam gyventojui;Trakų r. sav.;Miestas ir kaimas;m²;31.4
2011;Naudingasis plotas, tenkantis vienam gyventojui;Trakų r. sav.;Miestas ir kaimas;m²;32.4
