Laikotarpis;Rodiklis;Individualaus vartojimo išlaidų pagal paskirtį klasifikatorius (COICOP);Gyvenamoji vietovė;Vartojimo išlaidos;Matavimo vienetai;Reikšmė
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;147.9
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;156.3
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;176.6
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;200.6
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;229.7
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;246.0
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;247.4
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Vartojimo išlaidos;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;297.5
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;55.7
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;57.6
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;61.3
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;63.7
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;71.8
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;80.0
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;83.5
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Maistas ir nealkoholiniai gėrimai;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;93.7
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;5.4
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;5.7
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;6.5
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;7.2
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;7.9
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;9.1
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;8.5
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Alkoholiniai gėrimai, tabakas;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;11.8
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;11.7
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;12.5
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;14.9
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;17.2
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;20.8
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;20.3
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;16.3
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Apranga ir avalynė;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;20.7
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;17.9
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;18.3
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;20.4
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;22.8
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;26.2
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;29.4
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;44.4
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būstas, vanduo, elektra, dujos ir kitas kuras;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;42.3
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;7.4
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;9.0
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;10.3
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;13.9
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;16.5
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;16.3
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;11.0
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Būsto apstatymo, namų ūkio įranga ir kasdieninė namų priežiūra;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;16.2
2003;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;7.2
2004;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;8.1
2005;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;9.0
2006;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;9.9
2007;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;11.1
2008;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;12.1
2012;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;14.5
2016;Vidutinės vartojimo išlaidos, tenkančios vienam namų ūkio nariui per mėn.;Sveikata;Miestas ir kaimas;Piniginės ir natūrinės išlaidos;EUR;19.8
