;Country;level_1;new
0;Monaco;male;85.6
1;Monaco;female;93.5
2;San Marino;male;80.8
3;San Marino;female;86.1
4;Iceland;male;80.9
5;Iceland;female;85.4
6;Switzerland;male;80.3
7;Switzerland;female;85.1
8;Luxembourg;male;79.9
9;Luxembourg;female;84.9
10;Italy;male;79.6
11;Italy;female;85.1
12;Sweden;male;80.2
13;Sweden;female;84.2
14;Liechtenstein;male;79.7
15;Liechtenstein;female;84.7
16;France;male;78.8
17;France;female;85.2
18;Norway;male;79.8
19;Norway;female;84.0
20;Spain;male;78.8
21;Spain;female;84.9
22;Austria;male;78.9
23;Austria;female;84.4
24;Netherlands;male;79.3
25;Netherlands;female;83.7
26;Belgium;male;78.5
27;Belgium;female;83.8
28;Finland;male;78.0
29;Finland;female;84.1
30;Ireland;male;78.6
31;Ireland;female;83.4
32;Germany;male;78.5
33;Germany;female;83.3
34;United Kingdom;male;78.6
35;United Kingdom;female;83.1
36;Greece;male;78.0
37;Greece;female;83.4
38;Malta;male;78.1
39;Malta;female;83.0
40;Denmark;male;77.1
41;Denmark;female;82.1
42;Portugal;male;76.2
43;Portugal;female;82.9
44;Cyprus;male;76.0
45;Cyprus;female;81.8
46;Czech Republic;male;75.8
47;Czech Republic;female;81.9
48;Albania;male;75.8
49;Albania;female;81.4
50;Slovenia;male;74.8
51;Slovenia;female;82.2
52;Poland;male;73.9
53;Poland;female;81.8
54;Slovakia;male;73.7
55;Slovakia;female;81.1
56;Bosnia and Herzegovina;male;73.9
57;Bosnia and Herzegovina;female;80.2
58;Estonia;male;72.1
59;Estonia;female;81.9
60;North Macedonia;male;73.8
61;North Macedonia;female;79.2
62;Croatia;male;72.9
63;Croatia;female;79.4
64;Hungary;male;72.4
65;Hungary;female;80.0
66;Serbia;male;72.8
67;Serbia;female;78.8
68;Romania;male;71.9
69;Romania;female;79.0
70;Lithuania;male;69.7
71;Lithuania;female;80.7
72;Turkey;male;72.7
73;Turkey;female;77.5
74;Bulgaria;male;71.4
75;Bulgaria;female;78.2
76;Latvia;male;70.1
77;Latvia;female;79.5
78;Belarus;male;67.5
79;Belarus;female;78.8
80;Ukraine;male;67.4
81;Ukraine;female;77.1
82;Kazakhstan;male;65.9
83;Kazakhstan;female;76.0
84;Moldova;male;67.1
85;Moldova;female;75.1
86;Russia;male;65.3
87;Russia;female;77.1
