;Laikotarpis;Administracinė teritorija;population;Amžius;women;proportion;population_women;population_men
85;2001;Elektrėnų sav.;28976.0;Iš viso pagal amžių;1085;0.5425;15719.48;13256.52
86;2001;Elektrėnų sav.;28976.0;0–4;950;0.475;13763.599999999999;15212.400000000001
87;2001;Elektrėnų sav.;28976.0;5–9;931;0.4655;13488.328000000001;15487.671999999999
88;2001;Elektrėnų sav.;28976.0;10–14;903;0.4515;13082.664;15893.336
89;2001;Elektrėnų sav.;28976.0;15–19;901;0.4505;13053.688;15922.312
90;2001;Elektrėnų sav.;28976.0;20–24;917;0.4585;13285.496000000001;15690.503999999999
91;2001;Elektrėnų sav.;28976.0;25–29;951;0.4755;13778.088;15197.912
92;2001;Elektrėnų sav.;28976.0;30–34;977;0.4885;14154.776;14821.224
93;2001;Elektrėnų sav.;28976.0;35–39;1004;0.502;14545.952;14430.048
94;2001;Elektrėnų sav.;28976.0;40–44;1053;0.5265;15255.864;13720.136
95;2001;Elektrėnų sav.;28976.0;45–49;1079;0.5395;15632.552;13343.448
96;2001;Elektrėnų sav.;28976.0;50–54;1087;0.5435;15748.456;13227.544
97;2001;Elektrėnų sav.;28976.0;55–59;1234;0.617;17878.192;11097.808
98;2001;Elektrėnų sav.;28976.0;60–64;1219;0.6095;17660.872000000003;11315.127999999997
99;2001;Elektrėnų sav.;28976.0;65–69;1555;0.7775;22528.84;6447.16
100;2001;Elektrėnų sav.;28976.0;70–74;1789;0.8945;25919.032;3056.9680000000008
101;2001;Elektrėnų sav.;28976.0;75 ir vyresni;2462;1.231;35669.456000000006;-6693.456000000006
102;2002;Elektrėnų sav.;28576.0;Iš viso pagal amžių;1095;0.5475;15645.359999999999;12930.640000000001
103;2002;Elektrėnų sav.;28576.0;0–4;946;0.473;13516.447999999999;15059.552000000001
104;2002;Elektrėnų sav.;28576.0;5–9;970;0.485;13859.359999999999;14716.640000000001
105;2002;Elektrėnų sav.;28576.0;10–14;899;0.4495;12844.912;15731.088
106;2002;Elektrėnų sav.;28576.0;15–19;944;0.472;13487.872;15088.128
107;2002;Elektrėnų sav.;28576.0;20–24;870;0.435;12430.56;16145.44
108;2002;Elektrėnų sav.;28576.0;25–29;963;0.4815;13759.344;14816.656
109;2002;Elektrėnų sav.;28576.0;30–34;1023;0.5115;14616.623999999998;13959.376000000002
110;2002;Elektrėnų sav.;28576.0;35–39;974;0.487;13916.511999999999;14659.488000000001
111;2002;Elektrėnų sav.;28576.0;40–44;1052;0.526;15030.976;13545.024
112;2002;Elektrėnų sav.;28576.0;45–49;1050;0.525;15002.400000000001;13573.599999999999
113;2002;Elektrėnų sav.;28576.0;50–54;1135;0.5675;16216.880000000001;12359.119999999999
114;2002;Elektrėnų sav.;28576.0;55–59;1281;0.6405;18302.928;10273.072
115;2002;Elektrėnų sav.;28576.0;60–64;1198;0.599;17117.023999999998;11458.976000000002
116;2002;Elektrėnų sav.;28576.0;65–69;1511;0.7555;21589.167999999998;6986.832000000002
117;2002;Elektrėnų sav.;28576.0;70–74;1754;0.877;25061.152000000002;3514.847999999998
118;2002;Elektrėnų sav.;28576.0;75 ir vyresni;2478;1.239;35405.664000000004;-6829.664000000004
119;2003;Elektrėnų sav.;28333.0;Iš viso pagal amžių;1104;0.552;15639.816;12693.184
120;2003;Elektrėnų sav.;28333.0;0–4;997;0.4985;14124.0005;14208.9995
121;2003;Elektrėnų sav.;28333.0;5–9;951;0.4755;13472.341499999999;14860.658500000001
122;2003;Elektrėnų sav.;28333.0;10–14;906;0.453;12834.849;15498.151
123;2003;Elektrėnų sav.;28333.0;15–19;977;0.4885;13840.6705;14492.3295
124;2003;Elektrėnų sav.;28333.0;20–24;854;0.427;12098.190999999999;16234.809000000001
125;2003;Elektrėnų sav.;28333.0;25–29;928;0.464;13146.512;15186.488
126;2003;Elektrėnų sav.;28333.0;30–34;1000;0.5;14166.5;14166.5
127;2003;Elektrėnų sav.;28333.0;35–39;1019;0.5095;14435.663499999999;13897.336500000001
128;2003;Elektrėnų sav.;28333.0;40–44;1056;0.528;14959.824;13373.176
129;2003;Elektrėnų sav.;28333.0;45–49;1017;0.5085;14407.330499999998;13925.669500000002
130;2003;Elektrėnų sav.;28333.0;50–54;1155;0.5775;16362.3075;11970.6925
131;2003;Elektrėnų sav.;28333.0;55–59;1254;0.627;17764.791;10568.208999999999
132;2003;Elektrėnų sav.;28333.0;60–64;1212;0.606;17169.798;11163.202000000001
133;2003;Elektrėnų sav.;28333.0;65–69;1542;0.771;21844.743000000002;6488.256999999998
134;2003;Elektrėnų sav.;28333.0;70–74;1714;0.857;24281.381;4051.618999999999
135;2003;Elektrėnų sav.;28333.0;75 ir vyresni;2534;1.267;35897.911;-7564.911
136;2004;Elektrėnų sav.;28015.0;Iš viso pagal amžių;1109;0.5545;15534.3175;12480.6825
137;2004;Elektrėnų sav.;28015.0;0–4;1039;0.5195;14553.7925;13461.2075
138;2004;Elektrėnų sav.;28015.0;5–9;932;0.466;13054.990000000002;14960.009999999998
139;2004;Elektrėnų sav.;28015.0;10–14;927;0.4635;12984.952500000001;15030.047499999999
140;2004;Elektrėnų sav.;28015.0;15–19;966;0.483;13531.244999999999;14483.755000000001
141;2004;Elektrėnų sav.;28015.0;20–24;853;0.4265;11948.3975;16066.6025
142;2004;Elektrėnų sav.;28015.0;25–29;913;0.4565;12788.8475;15226.1525
143;2004;Elektrėnų sav.;28015.0;30–34;1005;0.5025;14077.537499999999;13937.462500000001
144;2004;Elektrėnų sav.;28015.0;35–39;1025;0.5125;14357.687499999998;13657.312500000002
145;2004;Elektrėnų sav.;28015.0;40–44;1063;0.5315;14889.9725;13125.0275
146;2004;Elektrėnų sav.;28015.0;45–49;1029;0.5145;14413.717499999999;13601.282500000001
147;2004;Elektrėnų sav.;28015.0;50–54;1099;0.5495;15394.2425;12620.7575
148;2004;Elektrėnų sav.;28015.0;55–59;1171;0.5855;16402.7825;11612.217499999999
149;2004;Elektrėnų sav.;28015.0;60–64;1283;0.6415;17971.622499999998;10043.377500000002
150;2004;Elektrėnų sav.;28015.0;65–69;1477;0.7385;20689.077500000003;7325.922499999997
151;2004;Elektrėnų sav.;28015.0;70–74;1765;0.8825;24723.2375;3291.7625000000007
152;2004;Elektrėnų sav.;28015.0;75 ir vyresni;2684;1.342;37596.130000000005;-9581.130000000005
153;2005;Elektrėnų sav.;27649.0;Iš viso pagal amžių;1112;0.556;15372.844000000001;12276.155999999999
154;2005;Elektrėnų sav.;27649.0;0–4;1084;0.542;14985.758000000002;12663.241999999998
