;Laikotarpis;Administracinė teritorija;population;Amžius;women;proportion;population_women;population_men
85;2001;Elektrėnų sav.;28976.0;Iš viso pagal amžių;1085.0;0.5391705069124424;15623.00460829493;13352.99539170507
86;2001;Elektrėnų sav.;28976.0;0–4;950.0;0.4736842105263158;13725.473684210527;15250.526315789473
87;2001;Elektrėnų sav.;28976.0;5–9;931.0;0.46294307196562834;13414.238453276046;15561.761546723954
88;2001;Elektrėnų sav.;28976.0;10–14;903.0;0.44629014396456257;12931.703211517164;16044.296788482836
89;2001;Elektrėnų sav.;28976.0;15–19;901.0;0.44506104328523866;12896.088790233076;16079.911209766924
90;2001;Elektrėnų sav.;28976.0;20–24;917.0;0.4547437295528899;13176.654307524537;15799.345692475463
91;2001;Elektrėnų sav.;28976.0;25–29;951.0;0.4742376445846478;13741.509989484754;15234.490010515246
92;2001;Elektrėnų sav.;28976.0;30–34;977.0;0.4882292732855681;14146.93142272262;14829.06857727738
93;2001;Elektrėnų sav.;28976.0;35–39;1004.0;0.50199203187251;14545.721115537848;14430.278884462152
94;2001;Elektrėnų sav.;28976.0;40–44;1053.0;0.5251661918328585;15217.215574548909;13758.784425451091
95;2001;Elektrėnų sav.;28976.0;45–49;1079.0;0.5366079703429101;15548.752548656163;13427.247451343837
96;2001;Elektrėnų sav.;28976.0;50–54;1087.0;0.5400183992640295;15647.57313707452;13328.42686292548
97;2001;Elektrėnų sav.;28976.0;55–59;1234.0;0.5948136142625609;17235.319286871963;11740.680713128037
98;2001;Elektrėnų sav.;28976.0;60–64;1219.0;0.5898277276456112;17090.84823625923;11885.15176374077
99;2001;Elektrėnų sav.;28976.0;65–69;1555.0;0.6784565916398714;19658.95819935691;9317.041800643088
100;2001;Elektrėnų sav.;28976.0;70–74;1789.0;0.7205142537730576;20877.621017328114;8098.378982671886
101;2001;Elektrėnų sav.;28976.0;75 ir vyresni;2462.0;0.7969130787977254;23091.35337124289;5884.646628757109
102;2002;Elektrėnų sav.;28576.0;Iš viso pagal amžių;1095.0;0.54337899543379;15527.598173515982;13048.401826484018
103;2002;Elektrėnų sav.;28576.0;0–4;946.0;0.4714587737843552;13472.405919661735;15103.594080338265
104;2002;Elektrėnų sav.;28576.0;5–9;970.0;0.48453608247422686;13846.103092783507;14729.896907216493
105;2002;Elektrėnų sav.;28576.0;10–14;899.0;0.4438264738598443;12682.78531701891;15893.21468298109
106;2002;Elektrėnų sav.;28576.0;15–19;944.0;0.4703389830508474;13440.406779661016;15135.593220338984
107;2002;Elektrėnų sav.;28576.0;20–24;870.0;0.4252873563218391;12153.011494252874;16422.988505747126
108;2002;Elektrėnų sav.;28576.0;25–29;963.0;0.48078920041536866;13739.032191069575;14836.967808930425
109;2002;Elektrėnų sav.;28576.0;30–34;1023.0;0.5112414467253177;14609.235581622677;13966.764418377323
110;2002;Elektrėnų sav.;28576.0;35–39;974.0;0.48665297741273106;13906.595482546203;14669.404517453797
111;2002;Elektrėnų sav.;28576.0;40–44;1052.0;0.5247148288973384;14994.250950570344;13581.749049429656
112;2002;Elektrėnų sav.;28576.0;45–49;1050.0;0.5238095238095238;14968.380952380952;13607.619047619048
113;2002;Elektrėnų sav.;28576.0;50–54;1135.0;0.5594713656387665;15987.453744493392;12588.546255506608
114;2002;Elektrėnų sav.;28576.0;55–59;1281.0;0.60967993754879;17422.213895394223;11153.786104605777
115;2002;Elektrėnų sav.;28576.0;60–64;1198.0;0.5826377295492488;16649.455759599332;11926.544240400668
116;2002;Elektrėnų sav.;28576.0;65–69;1511.0;0.6690933156849768;19120.010589013895;9455.989410986105
117;2002;Elektrėnų sav.;28576.0;70–74;1754.0;0.7149372862029646;20430.047890535916;8145.952109464084
118;2002;Elektrėnų sav.;28576.0;75 ir vyresni;2478.0;0.7982243744955609;22810.05972558515;5765.94027441485
119;2003;Elektrėnų sav.;28333.0;Iš viso pagal amžių;1104.0;0.5471014492753623;15501.02536231884;12831.97463768116
120;2003;Elektrėnų sav.;28333.0;0–4;997.0;0.49849548645937813;14123.87261785356;14209.12738214644
121;2003;Elektrėnų sav.;28333.0;5–9;951.0;0.4742376445846478;13436.575184016825;14896.424815983175
122;2003;Elektrėnų sav.;28333.0;10–14;906.0;0.44812362030905073;12696.686534216335;15636.313465783665
123;2003;Elektrėnų sav.;28333.0;15–19;977.0;0.4882292732855681;13833.0;14500.0
124;2003;Elektrėnų sav.;28333.0;20–24;854.0;0.41451990632318503;11744.592505854802;16588.407494145198
125;2003;Elektrėnų sav.;28333.0;25–29;928.0;0.4612068965517241;13067.374999999998;15265.625000000002
126;2003;Elektrėnų sav.;28333.0;30–34;1000.0;0.5;14166.5;14166.5
127;2003;Elektrėnų sav.;28333.0;35–39;1019.0;0.5093228655544652;14430.644749754661;13902.355250245339
128;2003;Elektrėnų sav.;28333.0;40–44;1056.0;0.5265151515151515;14917.753787878788;13415.246212121212
129;2003;Elektrėnų sav.;28333.0;45–49;1017.0;0.5083579154375615;14403.304818092429;13929.695181907571
130;2003;Elektrėnų sav.;28333.0;50–54;1155.0;0.5670995670995671;16067.632034632035;12265.367965367965
131;2003;Elektrėnų sav.;28333.0;55–59;1254.0;0.6012759170653907;17035.950558213717;11297.049441786283
132;2003;Elektrėnų sav.;28333.0;60–64;1212.0;0.5874587458745875;16644.468646864687;11688.531353135313
133;2003;Elektrėnų sav.;28333.0;65–69;1542.0;0.6757457846952011;19145.90531776913;9187.094682230869
134;2003;Elektrėnų sav.;28333.0;70–74;1714.0;0.7082847141190198;20067.83080513419;8265.169194865812
135;2003;Elektrėnų sav.;28333.0;75 ir vyresni;2534.0;0.8026835043409629;22742.431728492502;5590.568271507498
136;2004;Elektrėnų sav.;28015.0;Iš viso pagal amžių;1109.0;0.5491433724075744;15384.251577998197;12630.748422001803
137;2004;Elektrėnų sav.;28015.0;0–4;1039.0;0.5187680461982676;14533.286814244466;13481.713185755534
138;2004;Elektrėnų sav.;28015.0;5–9;932.0;0.46351931330472107;12985.49356223176;15029.50643776824
139;2004;Elektrėnų sav.;28015.0;10–14;927.0;0.46062567421790723;12904.428263214671;15110.571736785329
140;2004;Elektrėnų sav.;28015.0;15–19;966.0;0.4824016563146998;13514.482401656314;14500.517598343686
141;2004;Elektrėnų sav.;28015.0;20–24;853.0;0.41383352872215706;11593.54630715123;16421.453692848772
142;2004;Elektrėnų sav.;28015.0;25–29;913.0;0.452354874041621;12672.721796276013;15342.278203723987
