neighbourhood;street;municipality;houses;overlap;str_type
Antakalnis;Ajerų g. ;Vilnius;28;No;Kitas
Antakalnis;Algirdo Juliaus Greimo g. ;Vilnius;17;No;Kitas
Antakalnis;Anapilio g. ;Vilnius;48;No;Kitas
Antakalnis;Antakalnio g. ;Vilnius;147;No;Kitas
Antakalnis;Antano Škėmos g. ;Vilnius;12;No;Kitas
Antakalnis;Antavilių g. ;Vilnius;22;No;Kitas
Antakalnis;Antavilių Sodų 1-oji g. ;Vilnius;8;No;Sodas
Antakalnis;Antavilių Sodų 10-oji g. ;Vilnius;22;No;Sodas
Antakalnis;Antavilių Sodų 11-oji g. ;Vilnius;6;No;Sodas
Antakalnis;Antavilių Sodų 12-oji g. ;Vilnius;5;No;Sodas
Antakalnis;Antavilių Sodų 2-oji g. ;Vilnius;3;No;Sodas
Antakalnis;Antavilių Sodų 3-ioji g. ;Vilnius;16;No;Sodas
Antakalnis;Antavilių Sodų 4-oji g. ;Vilnius;16;No;Sodas
Antakalnis;Antavilių Sodų 5-oji g. ;Vilnius;6;No;Sodas
Antakalnis;Antavilių Sodų 6-oji g. ;Vilnius;16;No;Sodas
Antakalnis;Antavilių Sodų 7-oji g. ;Vilnius;16;No;Sodas
Antakalnis;Antavilių Sodų 8-oji g. ;Vilnius;12;No;Sodas
Antakalnis;Antavilių Sodų 9-oji g. ;Vilnius;8;No;Sodas
Antakalnis;Apuolės g. ;Vilnius;22;No;Kitas
Antakalnis;Asiūklių g. ;Vilnius;25;No;Kitas
Antakalnis;Aukštagirio g. ;Vilnius;40;No;Kitas
Antakalnis;B. Sruogos g. ;Vilnius;55;No;Kitas
Antakalnis;Balžio g. ;Vilnius;39;No;Kitas
Antakalnis;Barsukynės g. ;Vilnius;87;No;Kitas
Antakalnis;Birutės Marijos Gimbutienės g. ;Vilnius;12;No;Kitas
Antakalnis;Bistryčios g. ;Vilnius;43;No;Kitas
Antakalnis;Bruknių g.;Vilnius;nan;No;Kitas
Antakalnis;Centrinė g. ;Vilnius;10;No;Kitas
Antakalnis;Česlovo Kudabos g. ;Vilnius;21;No;Kitas
Antakalnis;Debesijos g. ;Vilnius;10;No;Kitas
Antakalnis;Duburio g. ;Vilnius;19;No;Kitas
Antakalnis;Dvarčionių g. ;Vilnius;35;No;Kitas
Antakalnis;Dvarčionių Sodų 1-oji g. ;Vilnius;21;No;Sodas
Antakalnis;Dvarčionių Sodų 2-oji g. ;Vilnius;14;No;Sodas
Antakalnis;Dvarčionių Sodų 3-ioji g. ;Vilnius;29;No;Sodas
Antakalnis;Elniakampio g. ;Vilnius;13;No;Kitas
Antakalnis;Ežerėlių g. ;Vilnius;3;No;Kitas
Antakalnis;Filaretų g. ;Vilnius;9 ;9 iš 112*;Kitas
Antakalnis;Fulgento Rimgailos g. ;Vilnius;7;No;Kitas
Antakalnis;Gaidžių g. ;Vilnius;7;No;Kitas
Antakalnis;Gaigalų g. ;Vilnius;6;No;Kitas
Antakalnis;Gailestingųjų Seserų g. ;Vilnius;10;No;Kitas
Antakalnis;Gailių g. ;Vilnius;61;No;Kitas
Antakalnis;Galgių g.;Vilnius;nan;No;Kitas
Antakalnis;Garšvų g. ;Vilnius;12;No;Kitas
Antakalnis;Gelvadiškių g. ;Vilnius;50;No;Kitas
Antakalnis;Gelvadiškių Sodų 1-oji g. ;Vilnius;27;No;Sodas
Antakalnis;Gelvadiškių Sodų 2-oji g. ;Vilnius;34;No;Sodas
Antakalnis;Gelvadiškių Sodų 3-ioji g. ;Vilnius;15;No;Sodas
Antakalnis;Gelvadiškių Sodų 4-oji g. ;Vilnius;12;No;Sodas
Antakalnis;Gelvadiškių Sodų 5-oji g. ;Vilnius;40;No;Sodas
Antakalnis;Gelvadiškių Sodų 6-oji g. ;Vilnius;14;No;Sodas
Antakalnis;Giedros g. ;Vilnius;42;No;Kitas
Antakalnis;Girinaičių g. ;Vilnius;36;No;Kitas
Antakalnis;Girininkijos g. ;Vilnius;26;No;Kitas
Antakalnis;Gražinos g. ;Vilnius;22;No;Kitas
Antakalnis;Grybautojų g. ;Vilnius;20;No;Kitas
Antakalnis;Gubojų g. ;Vilnius;28;No;Kitas
Antakalnis;Gvazdikų g. ;Vilnius;101;No;Kitas
Antakalnis;Gvazdikų Sodų g. ;Vilnius;18;No;Sodas
Antakalnis;Gvazdikų Sodų 1-oji g. ;Vilnius;77;No;Sodas
Antakalnis;Gvazdikų Sodų 10-oji g. ;Vilnius;27;No;Sodas
